Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,target
ARI,NL,2012.0,688.0,81.0,0.3279999999999999,0.418,0.259,0,162,734.0
ATL,NL,2012.0,600.0,94.0,0.32,0.389,0.247,1,162,700.0
BAL,AL,2012.0,705.0,93.0,0.311,0.417,0.247,1,162,712.0
BOS,AL,2012.0,806.0,69.0,0.315,0.415,0.26,0,162,734.0
CHC,NL,2012.0,759.0,61.0,0.302,0.3779999999999999,0.24,0,162,613.0
CHW,AL,2012.0,676.0,85.0,0.318,0.422,0.255,0,162,748.0
CIN,NL,2012.0,588.0,97.0,0.315,0.411,0.251,1,162,669.0
CLE,AL,2012.0,845.0,68.0,0.324,0.381,0.251,0,162,667.0
COL,NL,2012.0,890.0,64.0,0.33,0.436,0.2739999999999999,0,162,758.0
DET,AL,2012.0,670.0,88.0,0.335,0.422,0.268,1,162,726.0
HOU,NL,2012.0,794.0,55.0,0.302,0.371,0.236,0,162,583.0
KCR,AL,2012.0,746.0,72.0,0.317,0.4,0.265,0,162,676.0
LAA,AL,2012.0,699.0,89.0,0.332,0.433,0.2739999999999999,0,162,767.0
LAD,NL,2012.0,597.0,86.0,0.317,0.374,0.252,0,162,637.0
MIA,NL,2012.0,724.0,69.0,0.308,0.382,0.244,0,162,609.0
MIL,NL,2012.0,733.0,83.0,0.325,0.437,0.259,0,162,776.0
MIN,AL,2012.0,832.0,66.0,0.325,0.39,0.26,0,162,701.0
NYM,NL,2012.0,709.0,74.0,0.316,0.386,0.249,0,162,650.0
NYY,AL,2012.0,668.0,95.0,0.337,0.4529999999999999,0.265,1,162,804.0
OAK,AL,2012.0,614.0,94.0,0.31,0.4039999999999999,0.238,1,162,713.0
PHI,NL,2012.0,680.0,81.0,0.317,0.4,0.255,0,162,684.0
PIT,NL,2012.0,674.0,79.0,0.304,0.395,0.243,0,162,651.0
SDP,NL,2012.0,710.0,76.0,0.319,0.38,0.247,0,162,651.0
SEA,AL,2012.0,651.0,75.0,0.296,0.369,0.2339999999999999,0,162,619.0
SFG,NL,2012.0,649.0,94.0,0.327,0.397,0.2689999999999999,1,162,718.0
STL,NL,2012.0,648.0,88.0,0.3379999999999999,0.421,0.271,1,162,765.0
TBR,AL,2012.0,577.0,90.0,0.317,0.3939999999999999,0.24,0,162,697.0
TEX,AL,2012.0,707.0,93.0,0.3339999999999999,0.446,0.273,1,162,808.0
TOR,AL,2012.0,784.0,73.0,0.309,0.407,0.245,0,162,716.0
WSN,NL,2012.0,594.0,98.0,0.322,0.428,0.261,1,162,731.0
ARI,NL,2011.0,662.0,94.0,0.322,0.413,0.25,1,162,731.0
ATL,NL,2011.0,605.0,89.0,0.308,0.387,0.243,0,162,641.0
BAL,AL,2011.0,860.0,69.0,0.316,0.413,0.257,0,162,708.0
BOS,AL,2011.0,737.0,90.0,0.349,0.461,0.28,0,162,875.0
CHC,NL,2011.0,756.0,71.0,0.314,0.401,0.256,0,162,654.0
CHW,AL,2011.0,706.0,79.0,0.319,0.3879999999999999,0.252,0,162,654.0
CIN,NL,2011.0,720.0,79.0,0.326,0.408,0.256,0,162,735.0
CLE,AL,2011.0,760.0,80.0,0.317,0.396,0.25,0,162,704.0
COL,NL,2011.0,774.0,73.0,0.3289999999999999,0.41,0.258,0,162,735.0
DET,AL,2011.0,711.0,95.0,0.34,0.434,0.2769999999999999,1,162,787.0
FLA,NL,2011.0,702.0,72.0,0.318,0.3879999999999999,0.247,0,162,625.0
HOU,NL,2011.0,796.0,56.0,0.311,0.374,0.258,0,162,615.0
