id,'instance_id','repetition','stacks','tiers','stack.tier.ratio','container.density','empty.stack.pct','overstowing.stack.pct','overstowing.2cont.stack.pct','group.same.min','group.same.max','group.same.mean','group.same.stdev','top.good.min','top.good.max','top.good.mean','top.good.stdev','overstowage.pct','bflb','left.density','tier.weighted.groups','avg.l1.top.left.lg.group','cont.empty.grt.estack','pct.bottom.pct.on.top','algorithm', target,'runstatus'
1,"BF1_cpmp_16_5_48_10_29_1",1,16,5,0.3125,0.6,0.0625,0.625,0.909091,0,6,4.36364,1.55346,2,8,4.6,2.00998,0.3625,29,0.382222,0.441162,0.509615,0.175,0,"astar.symmulgt.transmul",0.028,"ok"
2,"BF1_cpmp_16_5_48_10_29_1",1,16,5,0.3125,0.6,0.0625,0.625,0.909091,0,6,4.36364,1.55346,2,8,4.6,2.00998,0.3625,29,0.382222,0.441162,0.509615,0.175,0,"astar.symmullt.transmul",0.804,"ok"
3,"BF1_cpmp_16_5_48_10_29_1",1,16,5,0.3125,0.6,0.0625,0.625,0.909091,0,6,4.36364,1.55346,2,8,4.6,2.00998,0.3625,29,0.382222,0.441162,0.509615,0.175,0,"idastar.symmulgt.transmul",0.004,"ok"
4,"BF1_cpmp_16_5_48_10_29_1",1,16,5,0.3125,0.6,0.0625,0.625,0.909091,0,6,4.36364,1.55346,2,8,4.6,2.00998,0.3625,29,0.382222,0.441162,0.509615,0.175,0,"idastar.symmullt.transmul",3600,"timeout"
5,"BF1_cpmp_16_5_48_10_29_12",1,16,5,0.3125,0.6,0.1875,0.5625,1,0,7,4.36364,1.61091,2,9,4.55556,2.26623,0.3625,29,0.413333,0.427399,0.663462,0.3375,0,"astar.symmulgt.transmul",3600,"memout"
6,"BF1_cpmp_16_5_48_10_29_12",1,16,5,0.3125,0.6,0.1875,0.5625,1,0,7,4.36364,1.61091,2,9,4.55556,2.26623,0.3625,29,0.413333,0.427399,0.663462,0.3375,0,"astar.symmullt.transmul",0.572,"ok"
7,"BF1_cpmp_16_5_48_10_29_12",1,16,5,0.3125,0.6,0.1875,0.5625,1,0,7,4.36364,1.61091,2,9,4.55556,2.26623,0.3625,29,0.413333,0.427399,0.663462,0.3375,0,"idastar.symmulgt.transmul",3600,"timeout"
8,"BF1_cpmp_16_5_48_10_29_12",1,16,5,0.3125,0.6,0.1875,0.5625,1,0,7,4.36364,1.61091,2,9,4.55556,2.26623,0.3625,29,0.413333,0.427399,0.663462,0.3375,0,"idastar.symmullt.transmul",128.756,"ok"
9,"BF1_cpmp_16_5_48_10_29_14",1,16,5,0.3125,0.6,0.1875,0.625,0.833333,0,7,4.36364,1.72008,2,7,4.3,1.84662,0.3625,29,0.111111,0.405997,0.615385,0.2625,0,"astar.symmulgt.transmul",3600,"memout"
10,"BF1_cpmp_16_5_48_10_29_14",1,16,5,0.3125,0.6,0.1875,0.625,0.833333,0,7,4.36364,1.72008,2,7,4.3,1.84662,0.3625,29,0.111111,0.405997,0.615385,0.2625,0,"astar.symmullt.transmul",19.085,"ok"
11,"BF1_cpmp_16_5_48_10_29_14",1,16,5,0.3125,0.6,0.1875,0.625,0.833333,0,7,4.36364,1.72008,2,7,4.3,1.84662,0.3625,29,0.111111,0.405997,0.615385,0.2625,0,"idastar.symmulgt.transmul",0.764,"ok"
12,"BF1_cpmp_16_5_48_10_29_14",1,16,5,0.3125,0.6,0.1875,0.625,0.833333,0,7,4.36364,1.72008,2,7,4.3,1.84662,0.3625,29,0.111111,0.405997,0.615385,0.2625,0,"idastar.symmullt.transmul",3600,"timeout"
13,"BF1_cpmp_16_5_48_10_29_15",1,16,5,0.3125,0.6,0.0625,0.5,0.888889,0,6,4.36364,1.61091,2,9,3.5,2.29129,0.3625,29,0.677778,0.409975,0.576923,0.1125,0,"astar.symmulgt.transmul",3600,"memout"
14,"BF1_cpmp_16_5_48_10_29_15",1,16,5,0.3125,0.6,0.0625,0.5,0.888889,0,6,4.36364,1.61091,2,9,3.5,2.29129,0.3625,29,0.677778,0.409975,0.576923,0.1125,0,"astar.symmullt.transmul",3600,"memout"
15,"BF1_cpmp_16_5_48_10_29_15",1,16,5,0.3125,0.6,0.0625,0.5,0.888889,0,6,4.36364,1.61091,2,9,3.5,2.29129,0.3625,29,0.677778,0.409975,0.576923,0.1125,0,"idastar.symmulgt.transmul",106.755,"ok"
16,"BF1_cpmp_16_5_48_10_29_15",1,16,5,0.3125,0.6,0.0625,0.5,0.888889,0,6,4.36364,1.61091,2,9,3.5,2.29129,0.3625,29,0.677778,0.409975,0.576923,0.1125,0,"idastar.symmullt.transmul",3588.976,"ok"
