encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.3120567375886525,0.5484496124031009,0.5198412698412698,0.2915306915306915,
binary,nb,0.9787234042553191,0.9762803234501347,0.9674603174603175,0.9717642346972832,
basen,nb,0.9858156028368794,0.9813492063492064,0.9813492063492064,0.9813492063492064,
hash,nb,0.9929078014184397,0.9864864864864865,0.9952380952380953,0.9907583404338992,
ordinal,nb,0.9858156028368794,0.9813492063492064,0.9813492063492064,0.9813492063492064,
gray,nb,0.9929078014184397,0.9864864864864865,0.9952380952380953,0.9907583404338992,
rankhot,nb,0.8368794326241135,0.7974630021141649,0.8722222222222222,0.813416949542604,
count,nb,0.9858156028368794,0.9813492063492064,0.9813492063492064,0.9813492063492064,
minhash,nb,0.75177304964539,0.659174649963154,0.6142857142857143,0.6249144941856046,
similarity,nb,0.7304964539007093,0.6984567901234567,0.7551587301587301,0.6999327956989247,
gap,nb,0.9432624113475178,0.9253968253968254,0.9253968253968254,0.9253968253968254,
sum,nb,0.7375886524822695,0.608041958041958,0.5408730158730158,0.5276595744680851,
helm,nb,0.5390070921985816,0.6525304592314902,0.6722222222222223,0.5375182923752335,
polynomial,nb,0.900709219858156,0.8607503607503607,0.8968253968253967,0.8759426847662142,
backdiff,nb,0.9361702127659575,0.9083710407239819,0.9297619047619048,0.9182608695652174,
target,nb,0.9858156028368794,0.9813492063492064,0.9813492063492064,0.9813492063492064,
mestimate,nb,0.9858156028368794,0.9813492063492064,0.9813492063492064,0.9813492063492064,
jamesstein,nb,0.9787234042553191,0.9681652806652807,0.9765873015873016,0.9722750213016975,
loout,nb,0.7446808510638298,0.3723404255319149,0.5,0.42682926829268286,
glmm,nb,0.9858156028368794,0.9813492063492064,0.9813492063492064,0.9813492063492064,
catboost,nb,0.9858156028368794,0.9813492063492064,0.9813492063492064,0.9813492063492064,
woe,nb,0.9858156028368794,0.9813492063492064,0.9813492063492064,0.9813492063492064,
onehot,RF,1.0,1.0,1.0,1.0,
binary,RF,1.0,1.0,1.0,1.0,
basen,RF,1.0,1.0,1.0,1.0,
hash,RF,1.0,1.0,1.0,1.0,
ordinal,RF,1.0,1.0,1.0,1.0,
gray,RF,1.0,1.0,1.0,1.0,
rankhot,RF,1.0,1.0,1.0,1.0,
count,RF,1.0,1.0,1.0,1.0,
minhash,RF,0.9929078014184397,0.9952830188679245,0.9861111111111112,0.9905880782324277,
similarity,RF,1.0,1.0,1.0,1.0,
gap,RF,1.0,1.0,1.0,1.0,
sum,RF,1.0,1.0,1.0,1.0,
helm,RF,1.0,1.0,1.0,1.0,
polynomial,RF,1.0,1.0,1.0,1.0,
backdiff,RF,1.0,1.0,1.0,1.0,
target,RF,1.0,1.0,1.0,1.0,
mestimate,RF,1.0,1.0,1.0,1.0,
jamesstein,RF,1.0,1.0,1.0,1.0,
loout,RF,0.7446808510638298,0.3723404255319149,0.5,0.42682926829268286,
glmm,RF,1.0,1.0,1.0,1.0,
catboost,RF,1.0,1.0,1.0,1.0,
woe,RF,1.0,1.0,1.0,1.0,
onehot,mlp,0.9574468085106383,0.937659683188554,0.9531746031746031,0.9450363825363826,
binary,mlp,0.9858156028368794,0.9736842105263157,0.9904761904761905,0.9816787941787941,
basen,mlp,1.0,1.0,1.0,1.0,
hash,mlp,0.9929078014184397,0.9864864864864865,0.9952380952380953,0.9907583404338992,
ordinal,mlp,0.9929078014184397,0.9864864864864865,0.9952380952380953,0.9907583404338992,
gray,mlp,0.9858156028368794,0.9736842105263157,0.9904761904761905,0.9816787941787941,
rankhot,mlp,0.9787234042553191,0.9762803234501347,0.9674603174603175,0.9717642346972832,
count,mlp,1.0,1.0,1.0,1.0,
minhash,mlp,0.9716312056737588,0.9712754260582738,0.9535714285714285,0.9619946091644205,
similarity,mlp,0.9432624113475178,0.919647419519673,0.9345238095238095,0.9267151767151767,
gap,mlp,0.9929078014184397,0.9864864864864865,0.9952380952380953,0.9907583404338992,
sum,mlp,0.9432624113475178,0.919647419519673,0.9345238095238095,0.9267151767151767,
helm,mlp,0.9219858156028369,0.8948804573804574,0.901984126984127,0.8983417447728912,
polynomial,mlp,0.9645390070921985,0.943815987933635,0.9670634920634921,0.9545893719806764,
backdiff,mlp,0.9716312056737588,0.9556719468574348,0.9718253968253968,0.9633575883575882,
target,mlp,1.0,1.0,1.0,1.0,
mestimate,mlp,0.9929078014184397,0.9864864864864865,0.9952380952380953,0.9907583404338992,
