encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.8273291925465839,0.6662627132081456,0.6785888077858881,0.6719670252030876,
binary,nb,0.8409937888198757,0.6812662734470482,0.6659975669099757,0.6729885495214157,
basen,nb,0.8496894409937888,0.6984275163886815,0.674543795620438,0.6850802292912083,
hash,nb,0.8484472049689441,0.6986381673881674,0.6875608272506083,0.6928019118162254,
ordinal,nb,0.84472049689441,0.693577430972389,0.6922445255474452,0.6929065611943761,
gray,nb,0.8347826086956521,0.680921052631579,0.6967153284671532,0.6881489917598981,
rankhot,nb,0.8422360248447205,0.6936145151425919,0.7079683698296837,0.7002864187107347,
count,nb,0.8397515527950311,0.6864117647058824,0.6927615571776156,0.6894819466248038,
minhash,nb,0.8111801242236025,0.6460329467137335,0.6690997566909975,0.6556576162816876,
similarity,nb,0.8260869565217391,0.6657417087439108,0.6812956204379562,0.6727870299398415,
gap,nb,0.8074534161490683,0.6344846802744875,0.6497262773722627,0.641163461510809,
sum,nb,0.822360248447205,0.6668114054132291,0.6962895377128955,0.6789707207018777,
helm,nb,0.8360248447204969,0.6747910514989239,0.6699513381995135,0.6723040485530309,
polynomial,nb,0.8211180124223603,0.6676472958813573,0.702433090024331,0.6814824584542336,
backdiff,nb,0.8372670807453416,0.6768115942028986,0.6706812652068126,0.6736402321083172,
target,nb,0.8335403726708075,0.6771509971509971,0.6891119221411193,0.6827352941176471,
mestimate,nb,0.8273291925465839,0.6674107142857143,0.6820255474452555,0.6740805252227507,
jamesstein,nb,0.8298136645962733,0.6719141604010025,0.6869221411192215,0.6787700140684665,
loout,nb,0.8347826086956521,0.6799386141753687,0.6932785888077859,0.686126721956911,
glmm,nb,0.8409937888198757,0.6900618537666174,0.7003649635036496,0.6949457628724361,
catboost,nb,0.8372670807453416,0.6826237428286066,0.691301703163017,0.6867620544108168,
woe,nb,0.8372670807453416,0.6844972478311098,0.6981751824817518,0.6908466208748523,
onehot,RF,0.9130434782608695,0.8833655449446718,0.7461374695863747,0.7930256817113304,
binary,RF,0.9105590062111801,0.8718064850075794,0.7446776155717761,0.7890092608771624,
basen,RF,0.915527950310559,0.9004709074946124,0.7441605839416059,0.7952389502349104,
hash,RF,0.9105590062111801,0.8799319727891157,0.7378041362530413,0.7851742031134173,
ordinal,RF,0.9180124223602485,0.894128738861981,0.759367396593674,0.8065918224707322,
