encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.8063583815028902,0.6535972850678734,0.8405874950478899,0.7116320258843624,
binary,nb,0.7716763005780347,0.5994949494949495,0.7058667940621286,0.6019651939213636,
basen,nb,0.6127167630057804,0.4355848861283644,0.616650742233926,0.42489848873043606,
hash,nb,0.6878612716763006,0.30589087397392567,0.27267367341707255,0.25186658293210523,
ordinal,nb,0.6820809248554913,0.5186772310523143,0.5594253221784624,0.4423388328186032,
gray,nb,0.6127167630057804,0.5730241935483872,0.769310899303209,0.5911819021237305,
rankhot,nb,0.6127167630057804,0.5730241935483872,0.769310899303209,0.5911819021237305,
count,nb,0.6791907514450867,0.16979768786127167,0.25,0.20223752151462993,
minhash,nb,0.7890173410404624,0.6142602357320099,0.8225152058912634,0.6750102335013967,
similarity,nb,0.7890173410404624,0.6142602357320099,0.8225152058912634,0.6750102335013967,
gap,nb,0.5578034682080925,0.5230537534754403,0.7490981333457623,0.5335813429155217,
sum,nb,0.5722543352601156,0.48957374601879355,0.5034140430192724,0.34608733843111633,
helm,nb,0.6734104046242775,0.5173407910887062,0.6701626622544335,0.49424238749366084,
polynomial,nb,0.6213872832369942,0.511546574770259,0.5529036843699751,0.4022384038877696,
backdiff,nb,0.8063583815028902,0.6535972850678734,0.8405874950478899,0.7116320258843624,
target,nb,0.7687861271676301,0.5603581858275224,0.7225699704038592,0.6028885972256794,
mestimate,nb,0.7687861271676301,0.5603581858275224,0.7225699704038592,0.6028885972256794,
jamesstein,nb,0.7774566473988439,0.5790570175438596,0.751321339516674,0.626914777093621,
loout,nb,0.7832369942196532,0.4678030303030303,0.5782654797138262,0.4999585687893936,
glmm,nb,0.7687861271676301,0.5603581858275224,0.7225699704038592,0.6028885972256794,
catboost,nb,0.5953757225433526,0.33252032520325203,0.5890658778017976,0.3521293351956967,
onehot,RF,0.9566473988439307,0.8502723781189508,0.8920011597190903,0.8644445603767589,
binary,RF,0.9075144508670521,0.8146381118881119,0.7448449389776651,0.7688676817584367,
basen,RF,0.9248554913294798,0.8172529001038894,0.812093292957928,0.8016393421312618,
hash,RF,0.6763005780346821,0.16956521739130434,0.24893617021276596,0.20172413793103447,
ordinal,RF,0.9624277456647399,0.8459362920011894,0.906046646478964,0.8624343084151195,
gray,RF,0.9710982658959537,0.9356036324786324,0.9187552348431158,0.9262504086302713,
rankhot,RF,0.9653179190751445,0.9334118698951235,0.9127311384575736,0.9218927822701407,
count,RF,0.6791907514450867,0.16979768786127167,0.25,0.20223752151462993,
minhash,RF,0.9624277456647399,0.8808765172735762,0.9491495393338059,0.8972902316488214,
similarity,RF,0.953757225433526,0.8316320878633939,0.9087043360608209,0.8521139013443881,
