encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.6189988739891493,0.6712393417510503,0.726388017848828,0.6078245437374399,
binary,nb,0.6681338929266045,0.6865078522942544,0.7536886088578617,0.6504207388791952,
basen,nb,0.8099088954857201,0.759808668719402,0.6638270569766156,0.6875057028253716,
hash,nb,0.8109325417135838,0.7635176939431543,0.6633424627877368,0.68747327928281,
ordinal,nb,0.8083734261439247,0.7577111130619596,0.6600628466142839,0.6834450303019224,
gray,nb,0.7742860067560651,0.7219522688416785,0.7827693289278275,0.7340443125949545,
rankhot,nb,0.7258675401781144,0.6997045055687376,0.7695589969513121,0.6958495185701032,
count,nb,0.8135940219060293,0.7659535646823783,0.6711806205852587,0.6956100902839137,
minhash,nb,0.7483877571911147,0.7061367927571394,0.7712122357598552,0.7120339118830223,
similarity,nb,0.7263793632920462,0.7076545538506634,0.7820656335606533,0.6998163033572531,
gap,nb,0.764151909100215,0.7221417316124594,0.792028938194052,0.7298504969033559,
sum,nb,0.6714095608557682,0.6859762623600262,0.7533838259745005,0.6527419601463231,
helm,nb,0.5791790357252533,0.6605608781713501,0.7034859739163355,0.5725782787521421,
polynomial,nb,0.7437813491657284,0.7019321747736885,0.7660043230314829,0.70712689660996,
backdiff,nb,0.48531067663015665,0.6207814848817566,0.6338203043876937,0.4844245371879153,
target,nb,0.8322072072072072,0.7759020100700491,0.7427618625031198,0.7565641679499704,
mestimate,nb,0.832002457002457,0.7756285661237623,0.7423370536670961,0.7561863539973943,
jamesstein,nb,0.8332309582309583,0.7762078687051706,0.748510017673056,0.7604166454931769,
loout,nb,0.8323095823095823,0.7761285613439233,0.7426843380419464,0.75659174553102,
glmm,nb,0.8335380835380836,0.7754063906396232,0.7539310574336504,0.7634872744973163,
catboost,nb,0.8331285831285832,0.7785215978593272,0.740469533517039,0.7559115169897532,
woe,nb,0.833947583947584,0.7762202885903544,0.7536209595889565,0.763619501854796,
onehot,RF,0.8509571092230526,0.8061401480796476,0.7662050965723308,0.7827046141650851,
binary,RF,0.8537209540382844,0.8103722004832358,0.7701990896891575,0.786841074861808,
basen,RF,0.8547446002661481,0.8128228914511403,0.7700042439935464,0.7875501240817433,
hash,RF,0.8483979936533934,0.8037135146913394,0.7594484984796652,0.777290185402725,
ordinal,RF,0.8548469648889344,0.8121772935211635,0.7716653006849381,0.7884465508297298,
gray,RF,0.8549493295117208,0.8126041962952282,0.7712981179234557,0.7883479159299838,
rankhot,RF,0.8477838059166752,0.8011199439567139,0.7619413435418274,0.7781152470070233,
count,RF,0.8542327771522162,0.8108429482148924,0.7715504093076906,0.7879056290421417,
minhash,RF,0.8384686252431159,0.7843298515457606,0.7553696827657779,0.7678112918355875,
similarity,RF,0.8469648889343843,0.7976791836666648,0.7658929253601238,0.779486289815612,
gap,RF,0.8457365134609479,0.7953064155179763,0.765518268358995,0.7783662214911651,
sum,RF,0.8531067663015662,0.8089740617700392,0.7702290725585439,0.7863739895672717,
helm,RF,0.8496263691268298,0.8026826552856852,0.7673566163057554,0.7822523342498797,
polynomial,RF,0.8467601596888116,0.7973659861537781,0.7656131711566514,0.7791912881966361,
backdiff,RF,0.8492169106356843,0.8032342326351911,0.7641893714594011,0.780351145715622,
target,RF,0.8558558558558559,0.8137186625858008,0.7729819059168181,0.789862138465118,
mestimate,RF,0.8554463554463555,0.8122545113497732,0.7740168259594755,0.7900362797596938,
jamesstein,RF,0.8558558558558559,0.8131143215251666,0.7741416214335597,0.7904222323336898,
loout,RF,0.759009009009009,0.3795045045045045,0.5,0.43149807938540335,
glmm,RF,0.854013104013104,0.8094596401235152,0.7732176307011993,0.788515341858572,
catboost,RF,0.861998361998362,0.8365486799562256,0.7632566828606653,0.7898270074877356,
