encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.86,0.6935528373034121,0.6230917704860501,0.6453146059445272,
binary,nb,0.843,0.6686740678676163,0.6614819642543806,0.6649301368664352,
basen,nb,0.854,0.7021816862724776,0.728197929461309,0.7137254901960784,
hash,nb,0.88,0.7602197772672927,0.661853792227542,0.6935648621041879,
ordinal,nb,0.854,0.7021816862724776,0.728197929461309,0.7137254901960784,
gray,nb,0.856,0.6929577733477046,0.6690313254622783,0.6795984300323071,
rankhot,nb,0.866,0.7258312180752718,0.5602152424401942,0.5738130375044527,
count,nb,0.854,0.6989524099251945,0.7131159184150937,0.7055858035894333,
minhash,nb,0.826,0.6392195902114222,0.6425605160470926,0.6408490823074827,
similarity,nb,0.868,0.7214570235638528,0.6156719223923997,0.642822352826574,
gap,nb,0.827,0.6572289156626506,0.6853708670694106,0.6689115611106965,
sum,nb,0.776,0.6328659486554223,0.7130657843063528,0.6486803555856686,
helm,nb,0.817,0.6432038834951457,0.6735308617217725,0.6552211389006641,
polynomial,nb,0.842,0.6947550745617639,0.7574261148572432,0.7174049908424909,
backdiff,nb,0.847,0.6581301958574045,0.6125260070689094,0.6283801015761055,
target,nb,0.842,0.6899684961034654,0.7393277016017847,0.7090368013200152,
mestimate,nb,0.843,0.6920226678291195,0.742924823903943,0.7115958668197474,
jamesstein,nb,0.841,0.688720245171858,0.7387469815088695,0.7079219288174512,
loout,nb,0.842,0.6907735922279009,0.7423441038110279,0.7104763580124751,
glmm,nb,0.841,0.6895372602452573,0.7417633837181126,0.7093613077644401,
catboost,nb,0.839,0.6871020142949967,0.7406019435322821,0.7071444032748896,
woe,nb,0.84,0.6874847892863956,0.7381662614159543,0.7068115017847849,
onehot,RF,0.952,0.9474624151703088,0.8454365427518612,0.8871745691478858,
binary,RF,0.948,0.9403187259771584,0.8340644557524712,0.8768939393939393,
basen,RF,0.96,0.9504245193602778,0.8772299233783705,0.9091932730376666,
hash,RF,0.913,0.9159673980328771,0.7021323707584455,0.7594019894966524,
ordinal,RF,0.96,0.94713829525915,0.8802463255876135,0.90980508879689,
gray,RF,0.955,0.9575636490676449,0.85019510523985,0.8938476454228284,
rankhot,RF,0.932,0.9300495329190261,0.7734940967086957,0.827724237173056,
count,RF,0.96,0.94713829525915,0.8802463255876135,0.90980508879689,
minhash,RF,0.941,0.9017365648885193,0.8390486217297939,0.8665131190454105,
similarity,RF,0.947,0.9433345400244355,0.8274509312410698,0.8731544571848426,
gap,RF,0.948,0.9265334280624801,0.8461300645894434,0.8803211076741788,
sum,RF,0.95,0.9497752216953105,0.8352258959383017,0.8807695609458313,
helm,RF,0.943,0.9358867994100295,0.8160788442416798,0.8625760954734494,
polynomial,RF,0.925,0.9049958411312122,0.76037984943056,0.8107355824675537,
backdiff,RF,0.938,0.9355566792881017,0.7950768305216454,0.846540731060156,
target,RF,0.958,0.9422254974207811,0.87606848319254,0.9052953432367346,
mestimate,RF,0.961,0.9512395548691142,0.8808270456805287,0.9117629091995085,
jamesstein,RF,0.961,0.9512395548691142,0.8808270456805287,0.9117629091995085,
loout,RF,0.861,0.4305,0.5,0.4626544868350349,
glmm,RF,0.961,0.9581716036772217,0.8747942412620426,0.9105502535556274,
catboost,RF,0.96,0.94713829525915,0.8802463255876135,0.90980508879689,
woe,RF,0.96,0.9439846676539769,0.8832627277968566,0.9104071100917431,
onehot,mlp,0.9,0.7921644187540142,0.7850750758278395,0.7885495343860747,
binary,mlp,0.922,0.8503419528992073,0.8069001244997034,0.826449149600833,
basen,mlp,0.939,0.892011606902648,0.8409035837532064,0.8638243915071067,
hash,mlp,0.896,0.7959325042482492,0.7284569556898035,0.7555448998204195,
ordinal,mlp,0.932,0.8933445898410017,0.8036581188011264,0.8401639729595051,
gray,mlp,0.933,0.873622988162366,0.8344028609864722,0.8523835647826844,
rankhot,mlp,0.912,0.8187597020232241,0.8071257279890374,0.8127723311546841,
count,mlp,0.937,0.8995806344461053,0.8216437303119177,0.8545004399629554,
minhash,mlp,0.928,0.8610933429744787,0.82546645610341,0.8418819560958898,
similarity,mlp,0.906,0.805751402728274,0.7945922008038169,0.800006808278867,
gap,mlp,0.922,0.8503419528992073,0.8069001244997034,0.826449149600833,
sum,mlp,0.9,0.7940084906416042,0.7760258692001103,0.7845644755437593,
helm,mlp,0.911,0.8200301478333515,0.7944793990591499,0.8064270567125225,
polynomial,mlp,0.906,0.8082275797999476,0.7855429941760876,0.7962033110457806,
backdiff,mlp,0.916,0.8332823465064754,0.800399401732969,0.8155289487785382,
target,mlp,0.939,0.8798850574712644,0.8590019970086649,0.8689972274659125,
mestimate,mlp,0.942,0.8935395055204828,0.8547113528689243,0.8726271312994669,
jamesstein,mlp,0.945,0.8993776697599057,0.8624863175661561,0.8796053682871785,
loout,mlp,0.948,0.91494613351918,0.8581956734264157,0.8835292431192661,
glmm,mlp,0.942,0.9004268664517815,0.8456621462411952,0.8700903096330275,
catboost,mlp,0.947,0.9087121212121212,0.8606313555427435,0.8824622604059709,
