encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.4406779661016949,0.4614073867249911,0.479965115296251,0.442423099776041,
binary,nb,0.41694915254237286,0.4561985596707819,0.44380335477129007,0.4146711352156496,
basen,nb,0.41694915254237286,0.4561985596707819,0.44380335477129007,0.4146711352156496,
hash,nb,0.49830508474576274,0.5038366547436554,0.47517807335008416,0.4679834235994605,
ordinal,nb,0.4542372881355932,0.4895133129414746,0.4744726954196537,0.45494862702309513,
gray,nb,0.4440677966101695,0.4616573429508512,0.4784344912903498,0.44574000859260643,
rankhot,nb,0.4440677966101695,0.4616573429508512,0.4784344912903498,0.44574000859260643,
count,nb,0.4610169491525424,0.4823802308183473,0.47550617397785516,0.4604607046070461,
minhash,nb,0.43050847457627117,0.47568737225628716,0.47423680105729854,0.42927847346452,
similarity,nb,0.4406779661016949,0.4614073867249911,0.479965115296251,0.442423099776041,
gap,nb,0.4271186440677966,0.48382981785288437,0.48002889129649695,0.4207244781066142,
sum,nb,0.4576271186440678,0.4680335628227194,0.48263218152340115,0.4579925801971614,
helm,nb,0.4440677966101695,0.4763300168097769,0.47743405331058913,0.444664307395739,
polynomial,nb,0.4610169491525424,0.4779746813385957,0.48601154115088785,0.4629414603889657,
backdiff,nb,0.4271186440677966,0.4594157682842699,0.4682264893232828,0.4279053197098599,
target,nb,0.43389830508474575,0.45761411042367056,0.44778589705170463,0.4359211554161601,
mestimate,nb,0.43050847457627117,0.454143001388363,0.445221794487602,0.43308049903109463,
jamesstein,nb,0.4271186440677966,0.44984734066480986,0.44150895553352854,0.42905292091646346,
loout,nb,0.4135593220338983,0.44047619047619047,0.43355001805706034,0.4172043010752688,
glmm,nb,0.43050847457627117,0.4535676822413201,0.4442397977609245,0.43360447981137634,
catboost,nb,0.31864406779661014,0.10621468926553672,0.3333333333333333,0.1610968294772922,
onehot,RF,0.5322033898305085,0.506134418576815,0.4970762930007761,0.49861425079093374,
binary,RF,0.5457627118644067,0.522586082947024,0.5163374134605779,0.5174004752623288,
basen,RF,0.5457627118644067,0.522586082947024,0.5163374134605779,0.5174004752623288,
hash,RF,0.43389830508474575,0.4161834358815457,0.4100996596052035,0.41074743703661803,
