encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.9501538461538461,0.9530706836616454,0.9519572953736655,0.9501462943499134,
binary,nb,0.896,0.916501976284585,0.8919437340153453,0.8938739626505907,
basen,nb,0.6683076923076923,0.7798955780047889,0.6797994921316817,0.6399560321931821,
hash,nb,0.7944615384615384,0.7989711703985433,0.7919044455164086,0.7924747184309215,
ordinal,nb,0.9212307692307692,0.9256368813976756,0.9194540263885222,0.9206995519524686,
gray,nb,0.8904615384615384,0.9128305582761997,0.8861892583120204,0.888039654670556,
rankhot,nb,0.9138461538461539,0.9287894201424212,0.9104859335038363,0.912507537812127,
count,nb,0.9366153846153846,0.9374781152470123,0.9359013449105467,0.9364289536822972,
minhash,nb,0.9587692307692308,0.9586924339361067,0.9587341822076192,0.9587129435632957,
similarity,nb,0.9501538461538461,0.9530706836616454,0.9519572953736655,0.9501462943499134,
gap,nb,0.9686153846153847,0.9684435717489062,0.9690106276148089,0.9685944049345532,
sum,nb,0.9889230769230769,0.9892800182273866,0.9886298477305203,0.9889006775709446,
helm,nb,0.963076923076923,0.9667774086378738,0.9616368286445013,0.9628710609051693,
polynomial,nb,0.9710769230769231,0.9708976986128626,0.9712905740975022,0.9710495143330964,
backdiff,nb,0.9858461538461538,0.9867205542725173,0.9852941176470589,0.9858082320987223,
target,nb,0.9901538461538462,0.9906868451688009,0.989769820971867,0.9901316888172298,
mestimate,nb,0.9901538461538462,0.9906868451688009,0.989769820971867,0.9901316888172298,
jamesstein,nb,0.9901538461538462,0.9906868451688009,0.989769820971867,0.9901316888172298,
loout,nb,0.5187692307692308,0.2593846153846154,0.5,0.3415721231766613,
glmm,nb,0.9366153846153846,0.9443169368379561,0.9343282880226205,0.9360257983731919,
catboost,nb,0.5692307692307692,0.7638326585695007,0.5848161328588375,0.49043678638751714,
woe,nb,0.9846153846153847,0.9849217992995501,0.9843392099219388,0.9845851225658249,
onehot,RF,1.0,1.0,1.0,1.0,
binary,RF,1.0,1.0,1.0,1.0,
basen,RF,1.0,1.0,1.0,1.0,
hash,RF,0.9649230769230769,0.9649906813821908,0.9647579130677492,0.964865118089239,
ordinal,RF,1.0,1.0,1.0,1.0,
gray,RF,1.0,1.0,1.0,1.0,
rankhot,RF,1.0,1.0,1.0,1.0,
count,RF,1.0,1.0,1.0,1.0,
minhash,RF,1.0,1.0,1.0,1.0,
similarity,RF,1.0,1.0,1.0,1.0,
gap,RF,1.0,1.0,1.0,1.0,
sum,RF,1.0,1.0,1.0,1.0,
