encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.839891975308642,0.5876994820218078,0.7023789407636016,0.6015751086949654,
binary,nb,0.7040895061728395,0.5212280561546538,0.6195801869240702,0.48755822571392127,
basen,nb,0.7164351851851852,0.5313235920532098,0.6267828193286201,0.4984741062499275,
hash,nb,0.2353395061728395,0.39193589942107854,0.33206491245151604,0.2051648920942287,
ordinal,nb,0.7314814814814815,0.5740986690599094,0.6363852591182029,0.5144522053745135,
gray,nb,0.7469135802469136,0.5418075524395966,0.6442135983248335,0.5225939477286838,
rankhot,nb,0.8040123456790124,0.5689896966699638,0.6811501448260263,0.5634545191242051,
count,nb,0.3368055555555556,0.06736111111111112,0.2,0.10077922077922079,
minhash,nb,0.7866512345679012,0.5577219192382168,0.6697108586687679,0.5516615653267779,
similarity,nb,0.7955246913580247,0.5581493519641463,0.6732079876843157,0.5733642344707212,
gap,nb,0.8047839506172839,0.5714860026906247,0.6807865111154887,0.5645925620017022,
sum,nb,0.7384259259259259,0.5515127034975806,0.6391991886824114,0.518050525428986,
helm,nb,0.8194444444444444,0.5734565893159183,0.6889784840326569,0.5886716580550898,
polynomial,nb,0.6651234567901234,0.5753228971877241,0.5929231510057565,0.4773269783892868,
backdiff,nb,0.8395061728395061,0.5873268703483772,0.7019957537154988,0.6014686500261777,
target,nb,0.7839506172839507,0.5662216618766063,0.6680815111519689,0.54832215390837,
mestimate,nb,0.7839506172839507,0.5662216618766063,0.6680815111519689,0.54832215390837,
jamesstein,nb,0.78125,0.5658124594187289,0.666298071661523,0.5465843795757175,
loout,nb,0.8831018518518519,0.5304592697393481,0.542138755736497,0.5360705899497038,
glmm,nb,0.7839506172839507,0.5662216618766063,0.6680815111519689,0.54832215390837,
catboost,nb,0.5327932098765432,0.27865731462925847,0.3370114942528736,0.2755283979724038,
onehot,RF,0.9911265432098766,0.787914603253277,0.7741349778095037,0.7806926748168845,
binary,RF,0.9618055555555556,0.7652990393841572,0.6872857505640884,0.713856826414966,
basen,RF,0.9922839506172839,0.789251840323917,0.7896517279450096,0.7894504279131007,
hash,RF,0.6091820987654321,0.36039640577935417,0.37184820048661943,0.3641785092128381,
ordinal,RF,0.9949845679012346,0.790956855448792,0.7944061968170046,0.792667160345867,
