encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.5130023640661938,0.5153288759757763,0.5079063253606397,0.4515673675956483,
binary,nb,0.5508274231678487,0.6153625546970216,0.5324388602022481,0.5033609103178799,
basen,nb,0.508274231678487,0.6709689003806651,0.4815544162389864,0.42132371299215804,
hash,nb,0.5862884160756501,0.5285672918956612,0.5844801916659537,0.5095019001001366,
ordinal,nb,0.6217494089834515,0.6333529181355269,0.6148769811680983,0.5996497053845816,
gray,nb,0.5437352245862884,0.6633349350021941,0.5202660232399625,0.5012472256910552,
rankhot,nb,0.5531914893617021,0.648812706824143,0.5289336922413357,0.5134603340499763,
count,nb,0.6264775413711584,0.642756693320603,0.6198910557634536,0.6036751251363869,
minhash,nb,0.5390070921985816,0.5577653348526422,0.5382329368814353,0.5081998187140938,
similarity,nb,0.5650118203309693,0.5785866142308734,0.5608728519216363,0.5322619445781405,
gap,nb,0.5460992907801419,0.5739036150858811,0.545392252220474,0.5189615315480125,
sum,nb,0.5862884160756501,0.5889851793987132,0.5809216357031389,0.5360057510886336,
helm,nb,0.49645390070921985,0.6318924343497896,0.47024776060847884,0.3977454303033798,
polynomial,nb,0.624113475177305,0.6438474124487278,0.6171389281305062,0.6104950127519828,
backdiff,nb,0.48936170212765956,0.5889602309850493,0.46308844526944004,0.38728826164170993,
target,nb,0.6327014218009479,0.6432418797588603,0.6246365663575261,0.6035173848636509,
mestimate,nb,0.6374407582938388,0.6487341676070378,0.6292448612884017,0.6100223065785653,
jamesstein,nb,0.6374407582938388,0.6500927643784787,0.6292448612884017,0.6102332905139453,
loout,nb,0.490521327014218,0.48575411270852037,0.48869186589669666,0.4527538638482134,
glmm,nb,0.6374407582938388,0.6487341676070378,0.6292448612884017,0.6100223065785653,
catboost,nb,0.3341232227488152,0.15946588906385242,0.336734693877551,0.20862688560070022,
onehot,RF,0.9408983451536643,0.9420371299927306,0.9406986919008212,0.940336074967122,
binary,RF,0.9527186761229315,0.9517501208259124,0.9533465202629353,0.9520924489440531,
basen,RF,0.9479905437352246,0.9471729370034454,0.9481852299403546,0.9473411179196782,
hash,RF,0.9527186761229315,0.95031367810282,0.9509891157626736,0.9505713126769642,
ordinal,RF,0.9574468085106383,0.9565943690564566,0.9567034014769593,0.9565206641472107,
gray,RF,0.9479905437352246,0.948306395604909,0.946281163616298,0.9468741422775977,
rankhot,RF,0.9479905437352246,0.948942336257968,0.9476322345486495,0.9476678121694423,
count,RF,0.9550827423167849,0.9544974016963312,0.9549522494032266,0.9546617966491544,
minhash,RF,0.8865248226950354,0.8840830994069009,0.8844445773517757,0.8837278815768518,
similarity,RF,0.9361702127659575,0.9341443701049613,0.9364176196704402,0.9350740589141834,
gap,RF,0.9125295508274232,0.9112401678261877,0.9109172905065165,0.9109961453220994,
sum,RF,0.950354609929078,0.9512675234316709,0.9504893774057924,0.9502538962121466,
