encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.312,0.548,0.52,0.292,
binary,nb,0.979,0.976,0.967,0.972,
basen,nb,0.986,0.981,0.981,0.981,
hash,nb,0.993,0.986,0.995,0.991,
ordinal,nb,0.986,0.981,0.981,0.981,
gray,nb,0.993,0.986,0.995,0.991,
rankhot,nb,0.837,0.797,0.872,0.813,
count,nb,0.986,0.981,0.981,0.981,
minhash,nb,0.752,0.659,0.614,0.625,
similarity,nb,0.73,0.698,0.755,0.7,
gap,nb,0.943,0.925,0.925,0.925,
sum,nb,0.738,0.608,0.541,0.528,
helm,nb,0.539,0.653,0.672,0.538,
polynomial,nb,0.901,0.861,0.897,0.876,
backdiff,nb,0.936,0.908,0.93,0.918,
target,nb,0.986,0.981,0.981,0.981,
mestimate,nb,0.986,0.981,0.981,0.981,
jamesstein,nb,0.979,0.968,0.977,0.972,
loout,nb,0.745,0.372,0.5,0.427,
glmm,nb,0.986,0.981,0.981,0.981,
catboost,nb,0.986,0.981,0.981,0.981,
woe,nb,0.986,0.981,0.981,0.981,
onehot,RF,1.0,1.0,1.0,1.0,
binary,RF,1.0,1.0,1.0,1.0,
basen,RF,1.0,1.0,1.0,1.0,
hash,RF,1.0,1.0,1.0,1.0,
ordinal,RF,1.0,1.0,1.0,1.0,
gray,RF,1.0,1.0,1.0,1.0,
rankhot,RF,1.0,1.0,1.0,1.0,
count,RF,1.0,1.0,1.0,1.0,
minhash,RF,0.993,0.995,0.986,0.991,
similarity,RF,1.0,1.0,1.0,1.0,
gap,RF,1.0,1.0,1.0,1.0,
sum,RF,1.0,1.0,1.0,1.0,
helm,RF,1.0,1.0,1.0,1.0,
polynomial,RF,1.0,1.0,1.0,1.0,
backdiff,RF,1.0,1.0,1.0,1.0,
target,RF,1.0,1.0,1.0,1.0,
mestimate,RF,1.0,1.0,1.0,1.0,
jamesstein,RF,1.0,1.0,1.0,1.0,
loout,RF,0.745,0.372,0.5,0.427,
glmm,RF,1.0,1.0,1.0,1.0,
catboost,RF,1.0,1.0,1.0,1.0,
woe,RF,1.0,1.0,1.0,1.0,
onehot,mlp,0.957,0.938,0.953,0.945,
binary,mlp,0.986,0.974,0.99,0.982,
basen,mlp,1.0,1.0,1.0,1.0,
hash,mlp,0.993,0.986,0.995,0.991,
ordinal,mlp,0.993,0.986,0.995,0.991,
gray,mlp,0.986,0.974,0.99,0.982,
rankhot,mlp,0.979,0.976,0.967,0.972,
count,mlp,1.0,1.0,1.0,1.0,
minhash,mlp,0.972,0.971,0.954,0.962,
similarity,mlp,0.943,0.92,0.935,0.927,
gap,mlp,0.993,0.986,0.995,0.991,
sum,mlp,0.943,0.92,0.935,0.927,
helm,mlp,0.922,0.895,0.902,0.898,
polynomial,mlp,0.965,0.944,0.967,0.955,
backdiff,mlp,0.972,0.956,0.972,0.963,
target,mlp,1.0,1.0,1.0,1.0,
mestimate,mlp,0.993,0.986,0.995,0.991,
jamesstein,mlp,0.993,0.986,0.995,0.991,
