encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.827,0.666,0.679,0.672,
binary,nb,0.841,0.681,0.666,0.673,
basen,nb,0.85,0.698,0.675,0.685,
hash,nb,0.848,0.699,0.688,0.693,
ordinal,nb,0.845,0.694,0.692,0.693,
gray,nb,0.835,0.681,0.697,0.688,
rankhot,nb,0.842,0.694,0.708,0.7,
count,nb,0.84,0.686,0.693,0.689,
minhash,nb,0.811,0.646,0.669,0.656,
similarity,nb,0.826,0.666,0.681,0.673,
gap,nb,0.807,0.634,0.65,0.641,
sum,nb,0.822,0.667,0.696,0.679,
helm,nb,0.836,0.675,0.67,0.672,
polynomial,nb,0.821,0.668,0.702,0.681,
backdiff,nb,0.837,0.677,0.671,0.674,
target,nb,0.834,0.677,0.689,0.683,
mestimate,nb,0.827,0.667,0.682,0.674,
jamesstein,nb,0.83,0.672,0.687,0.679,
loout,nb,0.835,0.68,0.693,0.686,
glmm,nb,0.841,0.69,0.7,0.695,
catboost,nb,0.837,0.683,0.691,0.687,
woe,nb,0.837,0.684,0.698,0.691,
onehot,RF,0.913,0.883,0.746,0.793,
binary,RF,0.911,0.872,0.745,0.789,
basen,RF,0.916,0.9,0.744,0.795,
hash,RF,0.911,0.88,0.738,0.785,
ordinal,RF,0.918,0.894,0.759,0.807,
gray,RF,0.913,0.883,0.746,0.793,
rankhot,RF,0.917,0.893,0.755,0.803,
count,RF,0.912,0.874,0.749,0.793,
minhash,RF,0.867,0.752,0.626,0.657,
similarity,RF,0.912,0.878,0.745,0.791,
gap,RF,0.902,0.858,0.716,0.761,
sum,RF,0.913,0.879,0.75,0.795,
helm,RF,0.907,0.859,0.739,0.781,
polynomial,RF,0.911,0.868,0.748,0.791,
backdiff,RF,0.911,0.872,0.745,0.789,
target,RF,0.911,0.872,0.745,0.789,
mestimate,RF,0.911,0.872,0.745,0.789,
jamesstein,RF,0.911,0.872,0.745,0.789,
loout,RF,0.851,0.425,0.5,0.46,
glmm,RF,0.911,0.872,0.745,0.789,
catboost,RF,0.914,0.899,0.74,0.791,
woe,RF,0.911,0.872,0.745,0.789,
onehot,mlp,0.897,0.822,0.73,0.764,
binary,mlp,0.898,0.827,0.731,0.766,
basen,mlp,0.898,0.829,0.727,0.764,
hash,mlp,0.899,0.84,0.721,0.762,
ordinal,mlp,0.901,0.829,0.742,0.775,
gray,mlp,0.897,0.82,0.733,0.766,
rankhot,mlp,0.898,0.818,0.744,0.774,
count,mlp,0.902,0.838,0.736,0.774,
minhash,mlp,0.878,0.774,0.684,0.715,
similarity,mlp,0.889,0.801,0.715,0.747,
gap,mlp,0.888,0.793,0.725,0.752,
sum,mlp,0.906,0.842,0.752,0.787,
helm,mlp,0.899,0.834,0.728,0.766,
polynomial,mlp,0.893,0.809,0.728,0.759,
backdiff,mlp,0.901,0.836,0.732,0.77,
target,mlp,0.908,0.861,0.743,0.785,
mestimate,mlp,0.912,0.87,0.752,0.795,
jamesstein,mlp,0.907,0.85,0.749,0.787,
loout,mlp,0.913,0.875,0.753,0.797,
glmm,mlp,0.912,0.874,0.749,0.793,
catboost,mlp,0.904,0.843,0.744,0.781,
woe,mlp,0.909,0.859,0.751,0.791,
onehot,knn,0.853,0.698,0.587,0.608,
binary,knn,0.86,0.725,0.601,0.626,
basen,knn,0.877,0.783,0.656,0.692,
hash,knn,0.877,0.797,0.639,0.676,
ordinal,knn,0.886,0.809,0.679,0.718,
gray,knn,0.861,0.732,0.599,0.624,
rankhot,knn,0.86,0.725,0.601,0.626,
count,knn,0.88,0.795,0.658,0.695,
minhash,knn,0.848,0.678,0.588,0.607,
similarity,knn,0.851,0.687,0.586,0.605,
gap,knn,0.852,0.692,0.576,0.594,
sum,knn,0.863,0.744,0.604,0.631,
helm,knn,0.863,0.742,0.607,0.634,
polynomial,knn,0.861,0.73,0.606,0.632,
backdiff,knn,0.862,0.736,0.606,0.633,
target,knn,0.891,0.83,0.685,0.727,
mestimate,knn,0.889,0.827,0.681,0.723,
jamesstein,knn,0.891,0.834,0.681,0.725,
loout,knn,0.889,0.821,0.688,0.728,
glmm,knn,0.88,0.787,0.668,0.704,
catboost,knn,0.888,0.825,0.677,0.719,
woe,knn,0.883,0.807,0.667,0.706,
onehot,svm,0.889,0.855,0.66,0.706,
binary,svm,0.892,0.86,0.668,0.715,
basen,svm,0.898,0.871,0.689,0.738,
hash,svm,0.888,0.853,0.656,0.701,
ordinal,svm,0.901,0.87,0.701,0.75,
gray,svm,0.893,0.852,0.679,0.726,
rankhot,svm,0.894,0.859,0.68,0.728,
count,svm,0.898,0.861,0.696,0.744,
