encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.806,0.654,0.841,0.712,
binary,nb,0.772,0.599,0.706,0.602,
basen,nb,0.613,0.436,0.617,0.425,
hash,nb,0.688,0.306,0.273,0.252,
ordinal,nb,0.682,0.519,0.559,0.442,
gray,nb,0.613,0.573,0.769,0.591,
rankhot,nb,0.613,0.573,0.769,0.591,
count,nb,0.679,0.17,0.25,0.202,
minhash,nb,0.789,0.614,0.823,0.675,
similarity,nb,0.789,0.614,0.823,0.675,
gap,nb,0.558,0.523,0.749,0.534,
sum,nb,0.572,0.49,0.503,0.346,
helm,nb,0.673,0.517,0.67,0.494,
polynomial,nb,0.621,0.512,0.553,0.402,
backdiff,nb,0.806,0.654,0.841,0.712,
target,nb,0.769,0.56,0.723,0.603,
mestimate,nb,0.769,0.56,0.723,0.603,
jamesstein,nb,0.777,0.579,0.751,0.627,
loout,nb,0.783,0.468,0.578,0.5,
glmm,nb,0.769,0.56,0.723,0.603,
catboost,nb,0.595,0.333,0.589,0.352,
onehot,RF,0.957,0.85,0.892,0.864,
binary,RF,0.908,0.815,0.745,0.769,
basen,RF,0.925,0.817,0.812,0.802,
hash,RF,0.676,0.17,0.249,0.202,
ordinal,RF,0.962,0.846,0.906,0.862,
gray,RF,0.971,0.936,0.919,0.926,
rankhot,RF,0.965,0.933,0.913,0.922,
count,RF,0.679,0.17,0.25,0.202,
minhash,RF,0.962,0.881,0.949,0.897,
similarity,RF,0.954,0.832,0.909,0.852,
gap,RF,0.954,0.857,0.909,0.864,
sum,RF,0.951,0.873,0.874,0.872,
helm,RF,0.957,0.85,0.9,0.863,
polynomial,RF,0.957,0.843,0.904,0.866,
backdiff,RF,0.965,0.885,0.929,0.896,
target,RF,0.965,0.855,0.921,0.877,
mestimate,RF,0.965,0.855,0.921,0.877,
jamesstein,RF,0.965,0.855,0.921,0.877,
loout,RF,0.792,0.371,0.428,0.391,
glmm,RF,0.965,0.855,0.921,0.877,
catboost,RF,0.65,0.421,0.658,0.448,
onehot,mlp,0.968,0.881,0.932,0.893,
binary,mlp,0.96,0.853,0.915,0.872,
basen,mlp,0.968,0.883,0.922,0.891,
hash,mlp,0.688,0.306,0.273,0.252,
ordinal,mlp,0.96,0.921,0.934,0.92,
gray,mlp,0.977,0.917,0.964,0.933,
rankhot,mlp,0.988,0.957,0.976,0.965,
count,mlp,0.679,0.17,0.25,0.202,
minhash,mlp,0.974,0.911,0.95,0.925,
similarity,mlp,0.971,0.911,0.958,0.929,
gap,mlp,0.962,0.873,0.937,0.89,
sum,mlp,0.96,0.851,0.903,0.865,
helm,mlp,0.974,0.902,0.961,0.924,
polynomial,mlp,0.974,0.893,0.961,0.917,
backdiff,mlp,0.98,0.928,0.956,0.936,
target,mlp,0.962,0.922,0.937,0.922,
mestimate,mlp,0.96,0.901,0.915,0.904,
jamesstein,mlp,0.96,0.89,0.915,0.897,
loout,mlp,0.968,0.918,0.935,0.925,
glmm,mlp,0.957,0.889,0.912,0.894,
catboost,mlp,0.72,0.517,0.746,0.547,
