encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.619,0.671,0.726,0.608,
binary,nb,0.668,0.687,0.754,0.65,
basen,nb,0.81,0.76,0.664,0.688,
hash,nb,0.811,0.764,0.663,0.687,
ordinal,nb,0.808,0.758,0.66,0.683,
gray,nb,0.774,0.722,0.783,0.734,
rankhot,nb,0.726,0.7,0.77,0.696,
count,nb,0.814,0.766,0.671,0.696,
minhash,nb,0.748,0.706,0.771,0.712,
similarity,nb,0.726,0.708,0.782,0.7,
gap,nb,0.764,0.722,0.792,0.73,
sum,nb,0.671,0.686,0.753,0.653,
helm,nb,0.579,0.661,0.703,0.573,
polynomial,nb,0.744,0.702,0.766,0.707,
backdiff,nb,0.485,0.621,0.634,0.484,
target,nb,0.832,0.776,0.743,0.757,
mestimate,nb,0.832,0.776,0.742,0.756,
jamesstein,nb,0.833,0.776,0.749,0.76,
loout,nb,0.832,0.776,0.743,0.757,
glmm,nb,0.834,0.775,0.754,0.763,
catboost,nb,0.833,0.779,0.74,0.756,
woe,nb,0.834,0.776,0.754,0.764,
onehot,RF,0.851,0.806,0.766,0.783,
binary,RF,0.854,0.81,0.77,0.787,
basen,RF,0.855,0.813,0.77,0.788,
hash,RF,0.848,0.804,0.759,0.777,
ordinal,RF,0.855,0.812,0.772,0.788,
gray,RF,0.855,0.813,0.771,0.788,
rankhot,RF,0.848,0.801,0.762,0.778,
count,RF,0.854,0.811,0.772,0.788,
minhash,RF,0.838,0.784,0.755,0.768,
similarity,RF,0.847,0.798,0.766,0.779,
gap,RF,0.846,0.795,0.766,0.778,
sum,RF,0.853,0.809,0.77,0.786,
helm,RF,0.85,0.803,0.767,0.782,
polynomial,RF,0.847,0.797,0.766,0.779,
backdiff,RF,0.849,0.803,0.764,0.78,
target,RF,0.856,0.814,0.773,0.79,
mestimate,RF,0.855,0.812,0.774,0.79,
jamesstein,RF,0.856,0.813,0.774,0.79,
loout,RF,0.759,0.38,0.5,0.431,
glmm,RF,0.854,0.809,0.773,0.789,
catboost,RF,0.862,0.837,0.763,0.79,
woe,RF,0.857,0.815,0.777,0.793,
onehot,mlp,0.837,0.782,0.752,0.765,
binary,mlp,0.844,0.79,0.771,0.78,
basen,mlp,0.853,0.808,0.771,0.787,
hash,mlp,0.846,0.799,0.76,0.776,
ordinal,mlp,0.851,0.803,0.773,0.786,
gray,mlp,0.849,0.797,0.776,0.786,
rankhot,mlp,0.842,0.791,0.759,0.773,
count,mlp,0.85,0.812,0.749,0.773,
minhash,mlp,0.844,0.789,0.773,0.78,
similarity,mlp,0.84,0.785,0.764,0.773,
gap,mlp,0.839,0.787,0.751,0.766,
sum,mlp,0.84,0.787,0.756,0.77,
helm,mlp,0.838,0.783,0.758,0.769,
polynomial,mlp,0.841,0.786,0.766,0.775,
backdiff,mlp,0.841,0.784,0.773,0.778,
target,mlp,0.855,0.812,0.772,0.789,
mestimate,mlp,0.857,0.819,0.767,0.788,
jamesstein,mlp,0.852,0.81,0.764,0.783,
loout,mlp,0.857,0.815,0.778,0.794,
glmm,mlp,0.854,0.812,0.769,0.787,
catboost,mlp,0.856,0.816,0.768,0.788,
woe,mlp,0.854,0.815,0.762,0.783,
onehot,knn,0.821,0.757,0.73,0.741,
binary,knn,0.822,0.76,0.731,0.743,
basen,knn,0.827,0.767,0.74,0.752,
hash,knn,0.824,0.764,0.73,0.744,
ordinal,knn,0.827,0.767,0.741,0.752,
gray,knn,0.825,0.764,0.734,0.747,
rankhot,knn,0.821,0.759,0.727,0.74,
count,knn,0.821,0.758,0.728,0.74,
minhash,knn,0.819,0.756,0.724,0.737,
similarity,knn,0.821,0.758,0.729,0.742,
gap,knn,0.819,0.756,0.726,0.738,
sum,knn,0.821,0.758,0.729,0.741,
helm,knn,0.822,0.76,0.731,0.743,
polynomial,knn,0.821,0.759,0.729,0.741,
backdiff,knn,0.822,0.76,0.732,0.744,
target,knn,0.834,0.778,0.75,0.762,
mestimate,knn,0.834,0.778,0.751,0.762,
jamesstein,knn,0.835,0.779,0.75,0.762,
loout,knn,0.834,0.778,0.75,0.762,
glmm,knn,0.833,0.777,0.747,0.759,
catboost,knn,0.835,0.778,0.751,0.763,
woe,knn,0.833,0.776,0.746,0.759,
onehot,svm,0.848,0.812,0.746,0.77,
binary,svm,0.85,0.814,0.748,0.772,
basen,svm,0.844,0.81,0.731,0.758,
hash,svm,0.844,0.811,0.73,0.757,
ordinal,svm,0.844,0.81,0.733,0.759,
gray,svm,0.852,0.817,0.753,0.777,
rankhot,svm,0.85,0.814,0.749,0.773,
count,svm,0.846,0.813,0.736,0.762,
minhash,svm,0.845,0.807,0.741,0.765,
similarity,svm,0.849,0.811,0.748,0.771,
gap,svm,0.848,0.811,0.746,0.769,
sum,svm,0.848,0.813,0.744,0.769,
helm,svm,0.849,0.813,0.748,0.772,
polynomial,svm,0.849,0.811,0.749,0.772,
backdiff,svm,0.846,0.809,0.743,0.767,
target,svm,0.852,0.822,0.747,0.774,
mestimate,svm,0.853,0.823,0.748,0.774,
jamesstein,svm,0.852,0.821,0.746,0.772,
loout,svm,0.852,0.822,0.747,0.774,
glmm,svm,0.851,0.821,0.746,0.772,
catboost,svm,0.852,0.822,0.745,0.772,
woe,svm,0.851,0.82,0.745,0.771,
onehot,lgr,0.849,0.807,0.756,0.776,
binary,lgr,0.85,0.81,0.753,0.775,
basen,lgr,0.824,0.782,0.691,0.717,
hash,lgr,0.83,0.784,0.714,0.737,
ordinal,lgr,0.824,0.782,0.691,0.717,
gray,lgr,0.846,0.803,0.748,0.769,
rankhot,lgr,0.849,0.807,0.756,0.776,
count,lgr,0.837,0.794,0.726,0.75,
minhash,lgr,0.849,0.806,0.756,0.776,
similarity,lgr,0.849,0.807,0.756,0.776,
gap,lgr,0.848,0.806,0.754,0.774,
sum,lgr,0.849,0.806,0.756,0.776,
helm,lgr,0.849,0.807,0.756,0.776,
polynomial,lgr,0.849,0.806,0.756,0.776,
backdiff,lgr,0.849,0.807,0.756,0.776,
target,lgr,0.849,0.807,0.756,0.776,
mestimate,lgr,0.849,0.807,0.756,0.776,
jamesstein,lgr,0.849,0.807,0.755,0.775,
loout,lgr,0.849,0.807,0.755,0.776,
glmm,lgr,0.849,0.807,0.754,0.775,
catboost,lgr,0.849,0.808,0.754,0.775,
woe,lgr,0.848,0.807,0.754,0.774,
onehot,dt,0.81,0.741,0.745,0.743,
binary,dt,0.812,0.743,0.748,0.745,
basen,dt,0.814,0.745,0.748,0.747,
hash,dt,0.805,0.734,0.735,0.734,
ordinal,dt,0.812,0.743,0.744,0.744,
gray,dt,0.813,0.744,0.748,0.746,
rankhot,dt,0.808,0.738,0.742,0.74,
count,dt,0.809,0.739,0.741,0.74,
minhash,dt,0.811,0.742,0.745,0.743,
similarity,dt,0.813,0.745,0.748,0.747,
gap,dt,0.815,0.747,0.752,0.75,
sum,dt,0.815,0.747,0.752,0.75,
helm,dt,0.815,0.747,0.748,0.748,
polynomial,dt,0.809,0.739,0.745,0.742,
backdiff,dt,0.81,0.741,0.744,0.742,
target,dt,0.814,0.746,0.75,0.748,
mestimate,dt,0.814,0.746,0.749,0.747,
jamesstein,dt,0.815,0.748,0.751,0.749,
loout,dt,0.759,0.379,0.5,0.431,
glmm,dt,0.818,0.752,0.755,0.753,
catboost,dt,0.799,0.728,0.744,0.735,
woe,dt,0.816,0.748,0.75,0.749,
