encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.86,0.694,0.623,0.645,
binary,nb,0.843,0.669,0.661,0.665,
basen,nb,0.854,0.702,0.728,0.714,
hash,nb,0.88,0.76,0.662,0.694,
ordinal,nb,0.854,0.702,0.728,0.714,
gray,nb,0.856,0.693,0.669,0.68,
rankhot,nb,0.866,0.726,0.56,0.574,
count,nb,0.854,0.699,0.713,0.706,
minhash,nb,0.826,0.639,0.643,0.641,
similarity,nb,0.868,0.721,0.616,0.643,
gap,nb,0.827,0.657,0.685,0.669,
sum,nb,0.776,0.633,0.713,0.649,
helm,nb,0.817,0.643,0.674,0.655,
polynomial,nb,0.842,0.695,0.757,0.717,
backdiff,nb,0.847,0.658,0.613,0.628,
target,nb,0.842,0.69,0.739,0.709,
mestimate,nb,0.843,0.692,0.743,0.712,
jamesstein,nb,0.841,0.689,0.739,0.708,
loout,nb,0.842,0.691,0.742,0.71,
glmm,nb,0.841,0.69,0.742,0.709,
catboost,nb,0.839,0.687,0.741,0.707,
woe,nb,0.84,0.687,0.738,0.707,
onehot,RF,0.952,0.947,0.845,0.887,
binary,RF,0.948,0.94,0.834,0.877,
basen,RF,0.96,0.95,0.877,0.909,
hash,RF,0.913,0.916,0.702,0.759,
ordinal,RF,0.96,0.947,0.88,0.91,
gray,RF,0.955,0.958,0.85,0.894,
rankhot,RF,0.932,0.93,0.773,0.828,
count,RF,0.96,0.947,0.88,0.91,
minhash,RF,0.941,0.902,0.839,0.867,
similarity,RF,0.947,0.943,0.827,0.873,
gap,RF,0.948,0.927,0.846,0.88,
sum,RF,0.95,0.95,0.835,0.881,
helm,RF,0.943,0.936,0.816,0.863,
polynomial,RF,0.925,0.905,0.76,0.811,
backdiff,RF,0.938,0.936,0.795,0.847,
target,RF,0.958,0.942,0.876,0.905,
mestimate,RF,0.961,0.951,0.881,0.912,
jamesstein,RF,0.961,0.951,0.881,0.912,
loout,RF,0.861,0.43,0.5,0.463,
glmm,RF,0.961,0.958,0.875,0.911,
catboost,RF,0.96,0.947,0.88,0.91,
woe,RF,0.96,0.944,0.883,0.91,
onehot,mlp,0.9,0.792,0.785,0.789,
binary,mlp,0.922,0.85,0.807,0.826,
basen,mlp,0.939,0.892,0.841,0.864,
hash,mlp,0.896,0.796,0.728,0.756,
ordinal,mlp,0.932,0.893,0.804,0.84,
gray,mlp,0.933,0.874,0.834,0.852,
rankhot,mlp,0.912,0.819,0.807,0.813,
count,mlp,0.937,0.9,0.822,0.855,
minhash,mlp,0.928,0.861,0.825,0.842,
similarity,mlp,0.906,0.806,0.795,0.8,
gap,mlp,0.922,0.85,0.807,0.826,
sum,mlp,0.9,0.794,0.776,0.785,
helm,mlp,0.911,0.82,0.794,0.806,
polynomial,mlp,0.906,0.808,0.786,0.796,
backdiff,mlp,0.916,0.833,0.8,0.816,
target,mlp,0.939,0.88,0.859,0.869,
mestimate,mlp,0.942,0.894,0.855,0.873,
jamesstein,mlp,0.945,0.899,0.862,0.88,
loout,mlp,0.948,0.915,0.858,0.884,
glmm,mlp,0.942,0.9,0.846,0.87,
catboost,mlp,0.947,0.909,0.861,0.882,
woe,mlp,0.946,0.916,0.848,0.877,
onehot,knn,0.857,0.662,0.552,0.561,
binary,knn,0.878,0.781,0.609,0.642,
basen,knn,0.892,0.84,0.648,0.692,
hash,knn,0.877,0.816,0.582,0.607,
ordinal,knn,0.897,0.852,0.666,0.713,
gray,knn,0.895,0.847,0.658,0.704,
rankhot,knn,0.885,0.808,0.632,0.67,
count,knn,0.893,0.853,0.645,0.69,
minhash,knn,0.862,0.698,0.612,0.636,
similarity,knn,0.856,0.656,0.551,0.56,
gap,knn,0.882,0.768,0.663,0.696,
sum,knn,0.865,0.714,0.569,0.586,
helm,knn,0.867,0.735,0.561,0.575,
polynomial,knn,0.857,0.638,0.525,0.517,
backdiff,knn,0.876,0.77,0.605,0.636,
target,knn,0.901,0.829,0.707,0.748,
mestimate,knn,0.903,0.836,0.711,0.753,
jamesstein,knn,0.901,0.832,0.704,0.746,
loout,knn,0.907,0.844,0.726,0.767,
glmm,knn,0.899,0.818,0.709,0.747,
catboost,knn,0.911,0.857,0.734,0.777,
woe,knn,0.904,0.835,0.718,0.759,
onehot,svm,0.888,0.799,0.66,0.7,
binary,svm,0.919,0.902,0.736,0.789,
basen,svm,0.919,0.902,0.736,0.789,
hash,svm,0.896,0.933,0.629,0.676,
ordinal,svm,0.921,0.9,0.746,0.797,
gray,svm,0.925,0.923,0.748,0.805,
rankhot,svm,0.893,0.834,0.657,0.701,
count,svm,0.921,0.904,0.743,0.796,
minhash,svm,0.887,0.796,0.657,0.696,
similarity,svm,0.886,0.791,0.656,0.694,
gap,svm,0.913,0.854,0.747,0.787,
sum,svm,0.896,0.824,0.683,0.726,
helm,svm,0.887,0.799,0.654,0.693,
polynomial,svm,0.885,0.808,0.632,0.67,
backdiff,svm,0.895,0.843,0.662,0.707,
target,svm,0.933,0.907,0.795,0.838,
mestimate,svm,0.935,0.913,0.799,0.843,
jamesstein,svm,0.937,0.915,0.807,0.849,
loout,svm,0.935,0.92,0.793,0.841,
glmm,svm,0.933,0.904,0.798,0.84,
catboost,svm,0.935,0.906,0.805,0.846,
woe,svm,0.936,0.911,0.806,0.847,
onehot,lgr,0.864,0.707,0.634,0.658,
binary,lgr,0.871,0.734,0.62,0.649,
basen,lgr,0.874,0.752,0.613,0.644,
hash,lgr,0.876,0.852,0.566,0.584,
ordinal,lgr,0.871,0.737,0.608,0.637,
gray,lgr,0.862,0.697,0.597,0.62,
rankhot,lgr,0.864,0.707,0.634,0.658,
count,lgr,0.868,0.723,0.604,0.63,
minhash,lgr,0.862,0.699,0.621,0.645,
similarity,lgr,0.864,0.707,0.634,0.658,
gap,lgr,0.857,0.681,0.606,0.627,
sum,lgr,0.864,0.707,0.634,0.658,
helm,lgr,0.864,0.707,0.634,0.658,
