encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.441,0.461,0.48,0.442,
binary,nb,0.417,0.456,0.444,0.415,
basen,nb,0.417,0.456,0.444,0.415,
hash,nb,0.498,0.504,0.475,0.468,
ordinal,nb,0.454,0.49,0.474,0.455,
gray,nb,0.444,0.462,0.478,0.446,
rankhot,nb,0.444,0.462,0.478,0.446,
count,nb,0.461,0.482,0.476,0.46,
minhash,nb,0.431,0.476,0.474,0.429,
similarity,nb,0.441,0.461,0.48,0.442,
gap,nb,0.427,0.484,0.48,0.421,
sum,nb,0.458,0.468,0.483,0.458,
helm,nb,0.444,0.476,0.477,0.445,
polynomial,nb,0.461,0.478,0.486,0.463,
backdiff,nb,0.427,0.459,0.468,0.428,
target,nb,0.434,0.458,0.448,0.436,
mestimate,nb,0.431,0.454,0.445,0.433,
jamesstein,nb,0.427,0.45,0.442,0.429,
loout,nb,0.414,0.44,0.434,0.417,
glmm,nb,0.431,0.454,0.444,0.434,
catboost,nb,0.319,0.106,0.333,0.161,
onehot,RF,0.532,0.506,0.497,0.499,
binary,RF,0.546,0.523,0.516,0.517,
basen,RF,0.546,0.523,0.516,0.517,
hash,RF,0.434,0.416,0.41,0.411,
ordinal,RF,0.542,0.508,0.504,0.503,
gray,RF,0.542,0.517,0.507,0.508,
rankhot,RF,0.529,0.504,0.496,0.497,
count,RF,0.515,0.496,0.486,0.487,
minhash,RF,0.458,0.433,0.429,0.429,
similarity,RF,0.532,0.505,0.497,0.498,
gap,RF,0.485,0.456,0.452,0.452,
sum,RF,0.515,0.489,0.481,0.483,
helm,RF,0.505,0.473,0.467,0.466,
polynomial,RF,0.525,0.495,0.489,0.489,
backdiff,RF,0.519,0.488,0.479,0.479,
target,RF,0.536,0.514,0.502,0.503,
mestimate,RF,0.532,0.511,0.499,0.5,
jamesstein,RF,0.532,0.511,0.499,0.5,
loout,RF,0.241,0.08,0.333,0.129,
glmm,RF,0.532,0.511,0.499,0.5,
catboost,RF,0.451,0.358,0.417,0.345,
onehot,mlp,0.559,0.54,0.537,0.537,
binary,mlp,0.553,0.528,0.524,0.523,
basen,mlp,0.542,0.525,0.521,0.52,
hash,mlp,0.532,0.511,0.5,0.485,
ordinal,mlp,0.563,0.539,0.527,0.523,
gray,mlp,0.559,0.537,0.536,0.536,
rankhot,mlp,0.566,0.547,0.537,0.537,
count,mlp,0.58,0.559,0.549,0.548,
minhash,mlp,0.529,0.509,0.498,0.5,
similarity,mlp,0.546,0.523,0.515,0.514,
gap,mlp,0.542,0.528,0.514,0.513,
sum,mlp,0.573,0.556,0.551,0.551,
helm,mlp,0.553,0.526,0.522,0.521,
polynomial,mlp,0.563,0.538,0.536,0.535,
backdiff,mlp,0.559,0.537,0.528,0.529,
target,mlp,0.586,0.56,0.552,0.549,
mestimate,mlp,0.583,0.572,0.555,0.554,
jamesstein,mlp,0.576,0.555,0.548,0.548,
loout,mlp,0.573,0.559,0.551,0.55,
glmm,mlp,0.6,0.58,0.57,0.567,
catboost,mlp,0.549,0.378,0.489,0.417,
onehot,knn,0.478,0.464,0.455,0.457,
binary,knn,0.451,0.433,0.426,0.427,
basen,knn,0.451,0.433,0.426,0.427,
hash,knn,0.485,0.467,0.459,0.461,
ordinal,knn,0.492,0.468,0.462,0.462,
gray,knn,0.471,0.457,0.446,0.449,
rankhot,knn,0.475,0.461,0.451,0.453,
count,knn,0.495,0.474,0.466,0.468,
minhash,knn,0.458,0.446,0.434,0.437,
similarity,knn,0.475,0.461,0.45,0.453,
gap,knn,0.464,0.451,0.439,0.442,
sum,knn,0.454,0.44,0.431,0.433,
helm,knn,0.471,0.456,0.45,0.451,
polynomial,knn,0.454,0.438,0.429,0.432,
backdiff,knn,0.461,0.441,0.437,0.437,
target,knn,0.495,0.485,0.477,0.48,
mestimate,knn,0.508,0.502,0.49,0.494,
jamesstein,knn,0.525,0.518,0.505,0.51,
loout,knn,0.525,0.516,0.51,0.512,
glmm,knn,0.519,0.512,0.499,0.503,
catboost,knn,0.437,0.365,0.412,0.331,
onehot,svm,0.583,0.596,0.542,0.543,
binary,svm,0.573,0.584,0.538,0.539,
basen,svm,0.573,0.584,0.538,0.539,
hash,svm,0.549,0.569,0.511,0.484,
ordinal,svm,0.59,0.59,0.56,0.561,
gray,svm,0.6,0.604,0.558,0.557,
rankhot,svm,0.6,0.604,0.558,0.557,
count,svm,0.586,0.608,0.553,0.553,
minhash,svm,0.475,0.46,0.439,0.442,
similarity,svm,0.583,0.596,0.542,0.543,
gap,svm,0.525,0.506,0.488,0.487,
sum,svm,0.586,0.584,0.545,0.545,
helm,svm,0.6,0.611,0.559,0.56,
polynomial,svm,0.586,0.586,0.544,0.542,
backdiff,svm,0.58,0.596,0.541,0.544,
target,svm,0.58,0.588,0.546,0.546,
mestimate,svm,0.583,0.589,0.548,0.545,
jamesstein,svm,0.583,0.589,0.548,0.545,
loout,svm,0.586,0.591,0.556,0.556,
glmm,svm,0.59,0.598,0.555,0.552,
catboost,svm,0.502,0.432,0.469,0.383,
onehot,lgr,0.525,0.526,0.49,0.493,
binary,lgr,0.532,0.536,0.497,0.5,
basen,lgr,0.532,0.536,0.497,0.5,
hash,lgr,0.464,0.437,0.413,0.384,
ordinal,lgr,0.532,0.523,0.496,0.496,
gray,lgr,0.525,0.526,0.49,0.493,
rankhot,lgr,0.525,0.526,0.49,0.493,
count,lgr,0.542,0.547,0.51,0.516,
minhash,lgr,0.525,0.526,0.49,0.493,
similarity,lgr,0.525,0.526,0.49,0.493,
gap,lgr,0.525,0.526,0.49,0.493,
sum,lgr,0.525,0.526,0.49,0.493,
helm,lgr,0.525,0.526,0.49,0.493,
polynomial,lgr,0.525,0.526,0.49,0.493,
backdiff,lgr,0.525,0.526,0.49,0.493,
target,lgr,0.553,0.563,0.522,0.527,
mestimate,lgr,0.549,0.561,0.52,0.524,
jamesstein,lgr,0.546,0.554,0.516,0.521,
loout,lgr,0.569,0.584,0.537,0.542,
glmm,lgr,0.549,0.56,0.519,0.524,
catboost,lgr,0.353,0.413,0.359,0.213,
onehot,dt,0.512,0.494,0.489,0.49,
binary,dt,0.437,0.413,0.412,0.412,
basen,dt,0.444,0.417,0.415,0.416,
hash,dt,0.424,0.394,0.396,0.395,
ordinal,dt,0.502,0.478,0.476,0.477,
gray,dt,0.475,0.454,0.45,0.451,
rankhot,dt,0.512,0.494,0.488,0.489,
count,dt,0.492,0.469,0.467,0.468,
minhash,dt,0.488,0.47,0.465,0.466,
similarity,dt,0.522,0.502,0.496,0.498,
gap,dt,0.495,0.475,0.469,0.471,
sum,dt,0.508,0.486,0.483,0.484,
helm,dt,0.532,0.515,0.508,0.51,
polynomial,dt,0.492,0.472,0.47,0.471,
backdiff,dt,0.492,0.468,0.463,0.465,
target,dt,0.481,0.459,0.457,0.457,
mestimate,dt,0.498,0.477,0.474,0.475,
jamesstein,dt,0.502,0.479,0.472,0.474,
loout,dt,0.241,0.08,0.333,0.129,
glmm,dt,0.485,0.467,0.463,0.464,
catboost,dt,0.451,0.313,0.401,0.343,
