encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.715,0.69,0.724,0.692,
binary,nb,0.7,0.661,0.684,0.666,
basen,nb,0.74,0.685,0.678,0.681,
hash,nb,0.705,0.63,0.603,0.609,
ordinal,nb,0.74,0.689,0.692,0.69,
gray,nb,0.72,0.673,0.688,0.678,
rankhot,nb,0.725,0.68,0.697,0.685,
count,nb,0.71,0.658,0.666,0.661,
minhash,nb,0.66,0.69,0.724,0.653,
similarity,nb,0.705,0.686,0.722,0.684,
gap,nb,0.655,0.668,0.701,0.644,
sum,nb,0.725,0.676,0.687,0.68,
helm,nb,0.77,0.728,0.748,0.736,
polynomial,nb,0.71,0.683,0.715,0.685,
backdiff,nb,0.745,0.7,0.716,0.706,
target,nb,0.73,0.686,0.705,0.692,
mestimate,nb,0.745,0.7,0.716,0.706,
jamesstein,nb,0.735,0.691,0.709,0.697,
loout,nb,0.73,0.68,0.69,0.684,
glmm,nb,0.73,0.691,0.715,0.697,
catboost,nb,0.73,0.682,0.695,0.687,
woe,nb,0.735,0.695,0.718,0.702,
onehot,RF,0.795,0.783,0.692,0.713,
binary,RF,0.765,0.759,0.631,0.643,
basen,RF,0.79,0.771,0.688,0.708,
hash,RF,0.715,0.64,0.586,0.588,
ordinal,RF,0.8,0.783,0.705,0.726,
gray,RF,0.79,0.767,0.693,0.712,
rankhot,RF,0.8,0.783,0.705,0.726,
count,RF,0.78,0.75,0.681,0.698,
minhash,RF,0.8,0.761,0.745,0.752,
similarity,RF,0.82,0.823,0.724,0.75,
gap,RF,0.785,0.748,0.705,0.719,
sum,RF,0.775,0.765,0.653,0.669,
helm,RF,0.795,0.763,0.717,0.732,
polynomial,RF,0.78,0.754,0.676,0.694,
backdiff,RF,0.785,0.761,0.685,0.703,
target,RF,0.795,0.783,0.692,0.713,
mestimate,RF,0.78,0.75,0.681,0.698,
jamesstein,RF,0.775,0.735,0.688,0.702,
loout,RF,0.705,0.352,0.5,0.413,
glmm,RF,0.78,0.747,0.686,0.703,
catboost,RF,0.78,0.744,0.691,0.707,
woe,RF,0.79,0.767,0.693,0.712,
onehot,mlp,0.785,0.742,0.739,0.74,
binary,mlp,0.755,0.704,0.693,0.698,
basen,mlp,0.77,0.724,0.694,0.705,
hash,mlp,0.72,0.656,0.639,0.645,
ordinal,mlp,0.745,0.69,0.666,0.675,
gray,mlp,0.76,0.711,0.707,0.709,
rankhot,mlp,0.76,0.71,0.702,0.706,
count,mlp,0.74,0.687,0.687,0.687,
minhash,mlp,0.745,0.698,0.711,0.703,
similarity,mlp,0.785,0.742,0.739,0.74,
gap,mlp,0.76,0.712,0.712,0.712,
sum,mlp,0.785,0.743,0.754,0.748,
helm,mlp,0.79,0.748,0.748,0.748,
polynomial,mlp,0.805,0.766,0.758,0.762,
backdiff,mlp,0.775,0.73,0.737,0.733,
target,mlp,0.785,0.742,0.729,0.735,
mestimate,mlp,0.77,0.723,0.709,0.715,
jamesstein,mlp,0.785,0.745,0.714,0.726,
loout,mlp,0.755,0.704,0.673,0.684,
glmm,mlp,0.78,0.735,0.726,0.73,
catboost,mlp,0.75,0.697,0.675,0.683,
woe,mlp,0.765,0.717,0.695,0.704,
onehot,knn,0.75,0.698,0.655,0.667,
binary,knn,0.74,0.685,0.628,0.638,
basen,knn,0.73,0.668,0.636,0.645,
hash,knn,0.715,0.641,0.596,0.601,
ordinal,knn,0.78,0.754,0.676,0.694,
gray,knn,0.72,0.656,0.639,0.645,
rankhot,knn,0.715,0.649,0.63,0.636,
count,knn,0.72,0.653,0.624,0.632,
minhash,knn,0.73,0.667,0.626,0.635,
similarity,knn,0.745,0.691,0.647,0.658,
gap,knn,0.7,0.621,0.595,0.6,
sum,knn,0.765,0.73,0.656,0.671,
helm,knn,0.76,0.713,0.667,0.68,
polynomial,knn,0.76,0.717,0.657,0.671,
backdiff,knn,0.77,0.729,0.679,0.693,
target,knn,0.78,0.742,0.696,0.71,
mestimate,knn,0.765,0.719,0.681,0.693,
