encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.95,0.953,0.952,0.95,
binary,nb,0.896,0.917,0.892,0.894,
basen,nb,0.668,0.78,0.68,0.64,
hash,nb,0.794,0.799,0.792,0.792,
ordinal,nb,0.921,0.926,0.919,0.921,
gray,nb,0.89,0.913,0.886,0.888,
rankhot,nb,0.914,0.929,0.91,0.913,
count,nb,0.937,0.937,0.936,0.936,
minhash,nb,0.959,0.959,0.959,0.959,
similarity,nb,0.95,0.953,0.952,0.95,
gap,nb,0.969,0.968,0.969,0.969,
sum,nb,0.989,0.989,0.989,0.989,
helm,nb,0.963,0.967,0.962,0.963,
polynomial,nb,0.971,0.971,0.971,0.971,
backdiff,nb,0.986,0.987,0.985,0.986,
target,nb,0.99,0.991,0.99,0.99,
mestimate,nb,0.99,0.991,0.99,0.99,
jamesstein,nb,0.99,0.991,0.99,0.99,
loout,nb,0.519,0.259,0.5,0.342,
glmm,nb,0.937,0.944,0.934,0.936,
catboost,nb,0.569,0.764,0.585,0.49,
woe,nb,0.985,0.985,0.984,0.985,
onehot,RF,1.0,1.0,1.0,1.0,
binary,RF,1.0,1.0,1.0,1.0,
basen,RF,1.0,1.0,1.0,1.0,
hash,RF,0.965,0.965,0.965,0.965,
ordinal,RF,1.0,1.0,1.0,1.0,
gray,RF,1.0,1.0,1.0,1.0,
rankhot,RF,1.0,1.0,1.0,1.0,
count,RF,1.0,1.0,1.0,1.0,
minhash,RF,1.0,1.0,1.0,1.0,
similarity,RF,1.0,1.0,1.0,1.0,
gap,RF,1.0,1.0,1.0,1.0,
sum,RF,1.0,1.0,1.0,1.0,
helm,RF,1.0,1.0,1.0,1.0,
polynomial,RF,1.0,1.0,1.0,1.0,
backdiff,RF,1.0,1.0,1.0,1.0,
target,RF,1.0,1.0,1.0,1.0,
mestimate,RF,1.0,1.0,1.0,1.0,
jamesstein,RF,1.0,1.0,1.0,1.0,
loout,RF,0.52,0.76,0.501,0.344,
glmm,RF,1.0,1.0,1.0,1.0,
catboost,RF,0.988,0.989,0.988,0.988,
woe,RF,1.0,1.0,1.0,1.0,
onehot,mlp,1.0,1.0,1.0,1.0,
binary,mlp,1.0,1.0,1.0,1.0,
basen,mlp,1.0,1.0,1.0,1.0,
hash,mlp,0.967,0.967,0.968,0.967,
ordinal,mlp,1.0,1.0,1.0,1.0,
gray,mlp,1.0,1.0,1.0,1.0,
