encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.84,0.588,0.702,0.602,
binary,nb,0.704,0.521,0.62,0.488,
basen,nb,0.716,0.531,0.627,0.498,
hash,nb,0.235,0.392,0.332,0.205,
ordinal,nb,0.731,0.574,0.636,0.514,
gray,nb,0.747,0.542,0.644,0.523,
rankhot,nb,0.804,0.569,0.681,0.563,
count,nb,0.337,0.067,0.2,0.101,
minhash,nb,0.787,0.558,0.67,0.552,
similarity,nb,0.796,0.558,0.673,0.573,
gap,nb,0.805,0.571,0.681,0.565,
sum,nb,0.738,0.552,0.639,0.518,
helm,nb,0.819,0.573,0.689,0.589,
polynomial,nb,0.665,0.575,0.593,0.477,
backdiff,nb,0.84,0.587,0.702,0.601,
target,nb,0.784,0.566,0.668,0.548,
mestimate,nb,0.784,0.566,0.668,0.548,
jamesstein,nb,0.781,0.566,0.666,0.547,
loout,nb,0.883,0.53,0.542,0.536,
glmm,nb,0.784,0.566,0.668,0.548,
catboost,nb,0.533,0.279,0.337,0.276,
onehot,RF,0.991,0.788,0.774,0.781,
binary,RF,0.962,0.765,0.687,0.714,
basen,RF,0.992,0.789,0.79,0.789,
hash,RF,0.609,0.36,0.372,0.364,
ordinal,RF,0.995,0.791,0.794,0.793,
gray,RF,0.983,0.781,0.733,0.753,
rankhot,RF,0.978,0.774,0.727,0.747,
count,RF,0.336,0.067,0.2,0.101,
minhash,RF,0.982,0.783,0.777,0.78,
similarity,RF,0.997,0.792,0.799,0.796,
gap,RF,0.997,0.792,0.799,0.795,
sum,RF,0.994,0.791,0.797,0.794,
helm,RF,0.995,0.791,0.789,0.79,
polynomial,RF,0.993,0.789,0.775,0.782,
backdiff,RF,0.995,0.791,0.785,0.788,
target,RF,0.995,0.791,0.794,0.792,
mestimate,RF,0.995,0.791,0.794,0.792,
jamesstein,RF,0.995,0.791,0.794,0.792,
loout,RF,0.498,0.357,0.49,0.328,
glmm,RF,0.995,0.791,0.794,0.792,
catboost,RF,0.639,0.291,0.4,0.325,
onehot,mlp,0.999,0.793,0.8,0.797,
binary,mlp,0.999,0.793,0.8,0.797,
basen,mlp,0.999,0.793,0.8,0.797,
hash,mlp,0.618,0.367,0.377,0.369,
ordinal,mlp,0.999,0.793,0.8,0.797,
gray,mlp,0.999,0.793,0.8,0.797,
rankhot,mlp,0.999,0.793,0.8,0.797,
count,mlp,0.337,0.067,0.2,0.101,
minhash,mlp,0.999,0.793,0.8,0.797,
similarity,mlp,0.999,0.793,0.8,0.797,
gap,mlp,0.999,0.793,0.8,0.797,
sum,mlp,0.999,0.793,0.8,0.797,
helm,mlp,0.999,0.793,0.8,0.797,
polynomial,mlp,0.999,0.794,0.8,0.797,
backdiff,mlp,0.999,0.793,0.8,0.797,
target,mlp,0.998,0.793,0.799,0.796,
mestimate,mlp,0.998,0.793,0.799,0.796,
jamesstein,mlp,0.998,0.793,0.8,0.796,
loout,mlp,0.999,0.793,0.8,0.797,
glmm,mlp,0.999,0.793,0.8,0.797,
catboost,mlp,0.511,0.469,0.324,0.271,
onehot,knn,0.929,0.758,0.595,0.609,
binary,knn,0.914,0.73,0.618,0.644,
basen,knn,0.967,0.77,0.753,0.761,
hash,knn,0.582,0.351,0.356,0.353,
ordinal,knn,0.966,0.773,0.761,0.767,
gray,knn,0.93,0.679,0.631,0.647,
rankhot,knn,0.938,0.746,0.642,0.669,
count,knn,0.337,0.067,0.2,0.101,
minhash,knn,0.879,0.679,0.662,0.669,
similarity,knn,0.924,0.709,0.696,0.701,
gap,knn,0.945,0.738,0.683,0.704,
sum,knn,0.971,0.774,0.726,0.746,
helm,knn,0.907,0.745,0.563,0.563,
polynomial,knn,0.919,0.725,0.6,0.62,
backdiff,knn,0.956,0.76,0.665,0.693,
target,knn,0.936,0.71,0.742,0.724,
mestimate,knn,0.936,0.71,0.742,0.724,
jamesstein,knn,0.941,0.714,0.737,0.724,
loout,knn,0.937,0.712,0.749,0.728,
glmm,knn,0.936,0.71,0.742,0.724,
catboost,knn,0.612,0.487,0.384,0.321,
onehot,svm,0.999,0.794,0.8,0.797,
binary,svm,0.983,0.782,0.742,0.759,
basen,svm,0.981,0.778,0.762,0.769,
hash,svm,0.622,0.369,0.38,0.371,
ordinal,svm,0.985,0.784,0.776,0.78,
gray,svm,0.998,0.793,0.793,0.793,
rankhot,svm,0.997,0.792,0.786,0.789,
count,svm,0.336,0.067,0.2,0.101,
minhash,svm,0.982,0.777,0.771,0.774,
similarity,svm,0.991,0.788,0.783,0.786,
gap,svm,0.992,0.788,0.774,0.781,
sum,svm,0.998,0.793,0.796,0.794,
helm,svm,0.999,0.794,0.8,0.797,
polynomial,svm,0.999,0.794,0.8,0.797,
backdiff,svm,0.998,0.793,0.799,0.796,
target,svm,0.989,0.787,0.779,0.783,
mestimate,svm,0.989,0.787,0.779,0.783,
jamesstein,svm,0.988,0.786,0.778,0.782,
loout,svm,0.988,0.786,0.778,0.782,
glmm,svm,0.989,0.787,0.779,0.783,
catboost,svm,0.606,0.487,0.38,0.311,
onehot,lgr,0.928,0.71,0.693,0.701,
binary,lgr,0.927,0.712,0.689,0.699,
basen,lgr,0.911,0.674,0.634,0.65,
hash,lgr,0.605,0.361,0.371,0.366,
ordinal,lgr,0.912,0.68,0.638,0.654,
gray,lgr,0.909,0.685,0.663,0.673,
rankhot,lgr,0.927,0.71,0.686,0.697,
count,lgr,0.336,0.067,0.2,0.101,
minhash,lgr,0.927,0.71,0.692,0.7,
similarity,lgr,0.928,0.71,0.693,0.701,
gap,lgr,0.927,0.71,0.692,0.701,
sum,lgr,0.928,0.71,0.693,0.701,
helm,lgr,0.927,0.71,0.693,0.701,
polynomial,lgr,0.928,0.71,0.693,0.701,
backdiff,lgr,0.927,0.709,0.689,0.698,
target,lgr,0.924,0.709,0.666,0.684,
mestimate,lgr,0.924,0.709,0.666,0.684,
jamesstein,lgr,0.926,0.709,0.665,0.682,
loout,lgr,0.924,0.709,0.667,0.684,
glmm,lgr,0.924,0.709,0.666,0.684,
catboost,lgr,0.301,0.087,0.198,0.116,
onehot,dt,0.997,0.787,0.799,0.793,
binary,dt,0.984,0.775,0.77,0.772,
basen,dt,0.995,0.791,0.798,0.794,
hash,dt,0.607,0.361,0.37,0.362,
ordinal,dt,0.997,0.792,0.798,0.795,
gray,dt,0.993,0.782,0.796,0.789,
rankhot,dt,0.996,0.786,0.798,0.792,
count,dt,0.336,0.067,0.2,0.101,
minhash,dt,0.997,0.793,0.799,0.796,
similarity,dt,0.999,0.794,0.8,0.797,
gap,dt,0.996,0.792,0.798,0.795,
sum,dt,0.997,0.787,0.799,0.793,
helm,dt,0.997,0.793,0.799,0.796,
polynomial,dt,0.997,0.793,0.799,0.796,
backdiff,dt,0.997,0.793,0.799,0.796,
target,dt,0.996,0.792,0.798,0.795,
mestimate,dt,0.996,0.792,0.798,0.795,
jamesstein,dt,0.997,0.792,0.798,0.795,
loout,dt,0.549,0.327,0.525,0.346,
glmm,dt,0.996,0.792,0.798,0.795,
catboost,dt,0.639,0.291,0.4,0.325,
