encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.513,0.515,0.508,0.452,
binary,nb,0.551,0.615,0.532,0.503,
basen,nb,0.508,0.671,0.482,0.421,
hash,nb,0.586,0.529,0.584,0.51,
ordinal,nb,0.622,0.633,0.615,0.6,
gray,nb,0.544,0.663,0.52,0.501,
rankhot,nb,0.553,0.649,0.529,0.513,
count,nb,0.626,0.643,0.62,0.604,
minhash,nb,0.539,0.558,0.538,0.508,
similarity,nb,0.565,0.579,0.561,0.532,
gap,nb,0.546,0.574,0.545,0.519,
sum,nb,0.586,0.589,0.581,0.536,
helm,nb,0.496,0.632,0.47,0.398,
polynomial,nb,0.624,0.644,0.617,0.61,
backdiff,nb,0.489,0.589,0.463,0.387,
target,nb,0.633,0.643,0.625,0.604,
mestimate,nb,0.637,0.649,0.629,0.61,
jamesstein,nb,0.637,0.65,0.629,0.61,
loout,nb,0.491,0.486,0.489,0.453,
glmm,nb,0.637,0.649,0.629,0.61,
catboost,nb,0.334,0.159,0.337,0.209,
onehot,RF,0.941,0.942,0.941,0.94,
binary,RF,0.953,0.952,0.953,0.952,
basen,RF,0.948,0.947,0.948,0.947,
hash,RF,0.953,0.95,0.951,0.951,
ordinal,RF,0.957,0.957,0.957,0.957,
gray,RF,0.948,0.948,0.946,0.947,
rankhot,RF,0.948,0.949,0.948,0.948,
count,RF,0.955,0.954,0.955,0.955,
minhash,RF,0.887,0.884,0.884,0.884,
similarity,RF,0.936,0.934,0.936,0.935,
gap,RF,0.913,0.911,0.911,0.911,
sum,RF,0.95,0.951,0.95,0.95,
helm,RF,0.95,0.952,0.951,0.951,
polynomial,RF,0.936,0.936,0.937,0.936,
backdiff,RF,0.946,0.944,0.944,0.944,
target,RF,0.95,0.949,0.949,0.949,
mestimate,RF,0.95,0.949,0.949,0.949,
jamesstein,RF,0.953,0.952,0.951,0.951,
loout,RF,0.209,0.137,0.168,0.087,
glmm,RF,0.953,0.952,0.952,0.952,
catboost,RF,0.263,0.257,0.255,0.15,
onehot,mlp,0.891,0.89,0.889,0.888,
binary,mlp,0.92,0.923,0.917,0.919,
basen,mlp,0.915,0.911,0.913,0.912,
hash,mlp,0.934,0.934,0.931,0.931,
ordinal,mlp,0.901,0.899,0.899,0.899,
gray,mlp,0.924,0.92,0.922,0.921,
rankhot,mlp,0.917,0.913,0.916,0.915,
count,mlp,0.924,0.923,0.922,0.922,
minhash,mlp,0.887,0.884,0.885,0.884,
similarity,mlp,0.898,0.897,0.895,0.896,
gap,mlp,0.896,0.892,0.893,0.892,
sum,mlp,0.927,0.923,0.925,0.924,
helm,mlp,0.915,0.911,0.913,0.911,
polynomial,mlp,0.905,0.902,0.904,0.902,
backdiff,mlp,0.917,0.916,0.916,0.915,
target,mlp,0.919,0.918,0.916,0.916,
mestimate,mlp,0.917,0.914,0.915,0.914,
jamesstein,mlp,0.917,0.914,0.915,0.914,
loout,mlp,0.905,0.904,0.903,0.902,
glmm,mlp,0.927,0.925,0.925,0.924,
catboost,mlp,0.334,0.169,0.328,0.215,
onehot,knn,0.804,0.794,0.798,0.795,
binary,knn,0.806,0.799,0.802,0.8,
basen,knn,0.827,0.818,0.823,0.819,
hash,knn,0.801,0.788,0.795,0.789,
ordinal,knn,0.825,0.813,0.821,0.815,
gray,knn,0.823,0.812,0.818,0.814,
rankhot,knn,0.83,0.822,0.825,0.822,
count,knn,0.839,0.833,0.834,0.831,
minhash,knn,0.799,0.79,0.794,0.792,
similarity,knn,0.804,0.794,0.798,0.795,
gap,knn,0.799,0.788,0.793,0.789,
sum,knn,0.82,0.81,0.815,0.812,
helm,knn,0.813,0.802,0.807,0.804,
polynomial,knn,0.83,0.823,0.825,0.823,
backdiff,knn,0.818,0.807,0.814,0.809,
target,knn,0.825,0.814,0.82,0.815,
mestimate,knn,0.82,0.809,0.815,0.811,
jamesstein,knn,0.815,0.804,0.81,0.806,
loout,knn,0.82,0.81,0.815,0.812,
glmm,knn,0.822,0.812,0.817,0.813,
catboost,knn,0.227,0.305,0.224,0.138,
onehot,svm,0.83,0.829,0.827,0.826,
binary,svm,0.842,0.841,0.839,0.838,
basen,svm,0.884,0.884,0.882,0.881,
hash,svm,0.858,0.854,0.853,0.851,
ordinal,svm,0.894,0.893,0.892,0.892,
gray,svm,0.87,0.869,0.867,0.867,
rankhot,svm,0.863,0.861,0.86,0.859,
count,svm,0.901,0.899,0.899,0.898,
minhash,svm,0.716,0.707,0.719,0.705,
similarity,svm,0.832,0.832,0.83,0.829,
gap,svm,0.766,0.759,0.768,0.76,
sum,svm,0.858,0.857,0.856,0.855,
helm,svm,0.863,0.864,0.86,0.86,
polynomial,svm,0.877,0.88,0.873,0.874,
backdiff,svm,0.861,0.86,0.858,0.858,
target,svm,0.886,0.882,0.883,0.882,
mestimate,svm,0.891,0.889,0.888,0.887,
jamesstein,svm,0.882,0.878,0.879,0.878,
loout,svm,0.884,0.881,0.881,0.88,
glmm,svm,0.889,0.886,0.886,0.885,
catboost,svm,0.306,0.152,0.298,0.18,
onehot,lgr,0.865,0.861,0.864,0.858,
binary,lgr,0.872,0.869,0.872,0.866,
basen,lgr,0.882,0.878,0.882,0.877,
hash,lgr,0.863,0.857,0.857,0.854,
ordinal,lgr,0.887,0.883,0.886,0.881,
gray,lgr,0.875,0.871,0.874,0.868,
rankhot,lgr,0.868,0.864,0.867,0.86,
count,lgr,0.903,0.899,0.903,0.899,
minhash,lgr,0.872,0.868,0.872,0.865,
similarity,lgr,0.868,0.863,0.867,0.86,
gap,lgr,0.872,0.869,0.871,0.865,
sum,lgr,0.865,0.861,0.864,0.858,
helm,lgr,0.865,0.861,0.864,0.858,
polynomial,lgr,0.865,0.861,0.864,0.858,
backdiff,lgr,0.865,0.861,0.864,0.858,
target,lgr,0.889,0.888,0.889,0.883,
mestimate,lgr,0.896,0.894,0.897,0.891,
jamesstein,lgr,0.896,0.894,0.897,0.891,
