method,time,time_norm,class,dim_fin
onehot,0.07432126998901367,0.03303214825327721,medium-slow,11.5
binary,0.07149314880371094,0.030878777498274057,medium-fast,2.875
basen,0.06986641883850098,0.02964016270638512,medium-fast,1.125
hash,0.48525071144104004,0.3459195330623739,slow,1.0
ordinal,0.03093862533569336,0.0,fast,1.0
gray,0.09308791160583496,0.04732132986165383,slow,2.875
rankhot,0.5712876319885254,0.4114292394781734,slow,11.5
count,0.05689358711242676,0.01976246842875641,fast,1.0
minhash,0.036041975021362305,0.0038857613396427702,fast,30.0
similarity,0.05469918251037598,0.01809161828299271,fast,11.5
gap,0.5432844161987305,0.3901072019922401,slow,10.0
sum,0.07196331024169922,0.031236764948018296,medium-fast,10.625
helm,0.07080626487731934,0.030355774535437766,medium-fast,10.625
polynomial,0.07251381874084473,0.03165592976620261,medium-slow,10.625
backdiff,0.07391166687011719,0.03272027074888542,medium-slow,10.625
target,0.0760488510131836,0.03434755244234759,medium-slow,1.0
mestimate,0.0695192813873291,0.02937584742908917,fast,1.0
jamesstein,0.08845376968383789,0.0437928298308836,slow,1.0
loout,0.06907224655151367,0.02903546889548346,fast,1.0
glmm,1.3442847728729248,1.0000000000000002,slow,1.0
catboost,0.07039809226989746,0.030044986242353508,medium-fast,1.0
woe,0.08320832252502441,0.0397988735013587,medium-slow,1.0
