method,time,time_norm,class,dim_fin
onehot,0.11925768852233887,0.023675398894121853,medium-slow,3.4
binary,0.11371994018554688,0.02188056466611462,medium-slow,2.5
basen,0.1106879711151123,0.02089787611926966,medium-slow,1.5
hash,0.706411600112915,0.21397728217572823,slow,0.8
ordinal,0.050873517990112305,0.0015114718861592765,fast,1.0
gray,0.13771462440490723,0.029657458433750394,slow,2.5
rankhot,3.131591558456421,1.0,slow,3.4
count,0.10355520248413086,0.018586081414861323,medium-fast,1.0
minhash,0.04621005058288574,0.0,fast,30.0
similarity,0.09417581558227539,0.015546137447504169,fast,3.4
gap,2.624122381210327,0.8355246584738091,slow,10.0
sum,0.11011242866516113,0.020711337615527917,medium-fast,2.5
helm,0.11058735847473145,0.020865266654241064,medium-fast,2.5
polynomial,0.10808515548706055,0.020054280077285977,medium-fast,2.5
backdiff,0.11146020889282227,0.021148165354406154,medium-slow,2.5
target,0.10961747169494629,0.020550917593254565,medium-fast,1.0
mestimate,0.10132002830505371,0.01786164128537547,fast,1.0
jamesstein,0.12105989456176758,0.02425951014092543,slow,1.0
loout,0.0998682975769043,0.017391122250875274,fast,1.0
glmm,3.0739095211029053,0.9813047309688225,slow,1.0
catboost,0.10047674179077148,0.017588324513323053,fast,1.0
woe,0.11946630477905273,0.0237430133062072,medium-slow,1.0
