method,time,time_norm,class,dim_fin
onehot,0.06076931953430176,0.052730545416018924,medium-slow,3.5
binary,0.06066775321960449,0.05260954321099518,medium-slow,2.5
basen,0.057419538497924805,0.04873974499211355,medium-fast,2.0
hash,0.6183371543884277,0.7169954413981492,slow,1.3333333333333333
ordinal,0.02836441993713379,0.014124593073277063,fast,1.0
gray,0.07907700538635254,0.07454161893565212,medium-slow,2.5
rankhot,0.855884313583374,1.0,slow,3.5
count,0.04984283447265625,0.039713150922982665,fast,1.0
minhash,0.01650857925415039,0.0,fast,30.0
similarity,0.03329968452453613,0.02000427768358605,fast,3.5
gap,0.34760451316833496,0.3944549745398294,slow,10.0
sum,0.057532548904418945,0.04887438124840759,medium-fast,2.6666666666666665
helm,0.057852983474731445,0.049256134683975474,medium-fast,2.6666666666666665
polynomial,0.05788540840148926,0.04929476449590794,medium-fast,2.6666666666666665
backdiff,0.058034420013427734,0.0494722912051564,medium-fast,2.6666666666666665
target,0.08403801918029785,0.08045198016131921,slow,1.0
mestimate,0.05699300765991211,0.048231592539560754,fast,1.0
jamesstein,0.07068300247192383,0.06454132637163526,medium-slow,1.0
loout,0.05517292022705078,0.046063210302116374,fast,1.0
glmm,0.7621221542358398,0.8882953658143775,slow,1.0
catboost,0.07044601440429688,0.06425898789324652,medium-slow,1.0
