method,time,time_norm,class,dim_fin
onehot,0.8070063591003418,0.011325066659517002,slow,12.375
binary,0.4236571788787842,0.004493157162051131,medium-fast,3.75
basen,0.33441972732543945,0.0029027997953167337,medium-fast,1.125
hash,3.3101775646209717,0.05593567238168305,slow,1.0
ordinal,0.1715390682220459,0.0,fast,1.0
gray,0.4343750476837158,0.00468416711709704,medium-fast,3.75
rankhot,32.00532245635986,0.5673300956167264,slow,12.375
count,0.43948888778686523,0.004775304113266006,medium-fast,1.0
minhash,0.4559319019317627,0.005068345523811256,medium-slow,30.0
similarity,0.8977205753326416,0.012941742388611906,slow,12.375
gap,30.492615461349487,0.5403711823874834,slow,10.0
sum,0.6407413482666016,0.008361952180036974,medium-slow,11.5
helm,0.6317899227142334,0.008202423133407116,medium-slow,11.5
polynomial,0.6283872127532959,0.008141781275543183,medium-slow,11.5
backdiff,0.6352770328521729,0.00826456914049217,medium-slow,11.5
target,0.2902493476867676,0.0021156113735606007,fast,1.0
mestimate,0.2831127643585205,0.001988425784193933,fast,1.0
jamesstein,0.3097386360168457,0.0024629423733664637,medium-fast,1.0
loout,0.25421595573425293,0.001473437383351422,fast,1.0
glmm,56.28311085700989,0.9999999999999999,slow,1.0
catboost,0.2631344795227051,0.0016323800667255896,fast,1.0
woe,0.3008403778076172,0.002304360855765729,fast,1.0
