method,time,time_norm,class,dim_fin
onehot,0.06138491630554199,0.011799896539238339,medium-slow,16.25
binary,0.05386066436767578,0.009224475986094573,medium-fast,3.5
basen,0.05326271057128906,0.00901980680306328,fast,1.25
hash,0.6668186187744141,0.2190293213086652,slow,2.0
ordinal,0.026910781860351562,0.0,fast,1.0
gray,0.06750750541687012,0.013895552288936741,slow,3.5
rankhot,1.8260321617126465,0.6158079524096818,slow,16.25
count,0.053459882736206055,0.009087295405282931,fast,1.0
minhash,0.03877377510070801,0.004060496228105273,fast,30.0
similarity,0.07455253601074219,0.01630694371213916,slow,16.25
gap,0.38593077659606934,0.12288629900584475,slow,10.0
sum,0.05973029136657715,0.011233547205012993,medium-slow,15.5
helm,0.05887627601623535,0.010941232606281697,medium-fast,15.5
polynomial,0.06121349334716797,0.011741221442508075,medium-slow,15.5
backdiff,0.058364152908325195,0.010765941774881688,medium-fast,15.5
target,0.05377483367919922,0.009195097634463287,medium-fast,1.0
mestimate,0.05255913734436035,0.008778985926219045,fast,1.0
jamesstein,0.05756425857543945,0.010492151858984566,medium-fast,1.0
loout,0.046205759048461914,0.0066043350532454075,fast,1.0
glmm,2.9484732151031494,1.0,slow,1.0
catboost,0.06540417671203613,0.013175619460905615,medium-slow,1.0
woe,0.05904388427734375,0.010998601998495013,medium-slow,1.0
