method,time,time_norm,class,dim_fin
onehot,0.07103991508483887,0.052742944610056935,medium-slow,3.142857142857143
binary,0.0686635971069336,0.05051900180289534,medium-fast,2.5714285714285716
basen,0.07254409790039062,0.05415067563949233,medium-slow,2.5714285714285716
hash,0.5173301696777344,0.47041600471251854,slow,1.1428571428571428
ordinal,0.03271055221557617,0.016871351814498135,fast,1.0
gray,0.08835864067077637,0.06895115224647899,slow,2.5714285714285716
rankhot,0.8714988231658936,0.8018745202691847,slow,3.142857142857143
count,0.060315608978271484,0.042706306563610075,fast,1.0
minhash,0.014683246612548828,0.0,fast,30.0
similarity,0.03757929801940918,0.02142790203673622,fast,3.142857142857143
gap,0.23225092887878418,0.20361672408561074,slow,10.0
sum,0.06874918937683105,0.05059910569250817,medium-fast,2.2857142857142856
helm,0.06784224510192871,0.049750316845468656,medium-fast,2.2857142857142856
polynomial,0.06921076774597168,0.05103108655682689,medium-fast,2.2857142857142856
backdiff,0.06885766983032227,0.05070063012084754,medium-fast,2.2857142857142856
target,0.07066226005554199,0.052389505721068874,medium-slow,1.0
mestimate,0.06706619262695312,0.04902402670427161,fast,1.0
jamesstein,0.08096194267272949,0.062028748148015914,medium-slow,1.0
loout,0.06670427322387695,0.04868531443565806,fast,1.0
glmm,1.0831990242004395,0.9999999999999999,slow,1.0
catboost,0.08560562133789062,0.06637466307277627,medium-slow,1.0
