method,time,time_norm,class,dim_fin
onehot,0.11661076545715332,0.0431135524067056,medium-slow,4.153846153846154
binary,0.1144413948059082,0.04202297582021871,medium-fast,2.6923076923076925
basen,0.11345720291137695,0.04152820714794506,medium-fast,1.3076923076923077
hash,0.5019481182098389,0.23682867184455828,slow,0.6153846153846154
ordinal,0.04906749725341797,0.00915849413415063,fast,1.0
gray,0.1576533317565918,0.06374629298048144,slow,2.6923076923076925
rankhot,1.1786761283874512,0.5770304363037472,slow,4.153846153846154
count,0.09299230575561523,0.03124018298290615,fast,1.0
minhash,0.030849456787109375,0.0,fast,30.0
similarity,0.056333065032958984,0.01281100879472889,fast,4.153846153846154
gap,0.4489893913269043,0.21020549080560877,slow,10.0
sum,0.11353230476379395,0.04156596202482641,medium-fast,3.230769230769231
helm,0.11455392837524414,0.042079548207164724,medium-fast,3.230769230769231
polynomial,0.11550593376159668,0.04255813621791779,medium-fast,3.230769230769231
backdiff,0.11660099029541016,0.04310863827987343,medium-slow,3.230769230769231
target,0.12445306777954102,0.047056000550382206,medium-slow,1.0
mestimate,0.1112825870513916,0.04043499371291407,fast,1.0
jamesstein,0.13937616348266602,0.05455807437183376,slow,1.0
loout,0.11619424819946289,0.042904162660954134,medium-slow,1.0
glmm,2.020045518875122,0.9999999999999999,slow,1.0
catboost,0.10848641395568848,0.039029313725407945,fast,1.0
woe,0.12966299057006836,0.04967511029517962,medium-slow,1.0
