method,time,time_norm,class,dim_fin
onehot,0.44026875495910645,0.019936060811845444,slow,5.318181818181818
binary,0.3632776737213135,0.014844123965523924,medium-fast,2.909090909090909
basen,0.3042149543762207,0.010937909998371615,medium-fast,1.0909090909090908
hash,1.3200559616088867,0.07812229254725937,slow,0.36363636363636365
ordinal,0.13883161544799805,0.0,fast,1.0
gray,0.4279608726501465,0.019122057963442546,slow,2.909090909090909
rankhot,14.227980852127075,0.9318099834186124,slow,5.318181818181818
count,0.31519222259521484,0.011663910407998449,medium-fast,1.0
minhash,0.15697884559631348,0.0012001981056154482,fast,30.0
similarity,0.383530855178833,0.016183602763077898,medium-slow,5.318181818181818
gap,1.118501901626587,0.06479217004411177,slow,10.0
sum,0.3859732151031494,0.01634513241418379,medium-slow,4.363636363636363
helm,0.3844614028930664,0.016245146127805185,medium-slow,4.363636363636363
polynomial,0.3854842185974121,0.016312791793877443,medium-slow,4.363636363636363
backdiff,0.3927574157714844,0.016793817129355404,medium-slow,4.363636363636363
target,0.2926030158996582,0.010169934585694816,fast,1.0
mestimate,0.2695341110229492,0.008644233103685497,fast,1.0
jamesstein,0.31591081619262695,0.01171143582467486,medium-fast,1.0
loout,0.27860403060913086,0.00924408774907501,fast,1.0
glmm,15.259027242660522,1.0,slow,1.0
catboost,0.24897313117980957,0.007284397533427722,fast,1.0
woe,0.29961538314819336,0.01063370948791332,medium-fast,1.0
