method,time,time_norm,class,dim_fin
onehot,0.13610506057739258,0.008509184492743556,medium-fast,3.375
binary,0.13286042213439941,0.008112102249217499,medium-fast,2.375
basen,0.1291642189025879,0.007659757034919281,fast,1.375
hash,1.6979877948760986,0.19965402579216798,slow,1.0
ordinal,0.0665748119354248,0.0,fast,1.0
gray,0.17699933052062988,0.013513867985749621,medium-slow,2.375
rankhot,8.237774848937988,1.0,slow,3.375
count,0.17690110206604004,0.013501846684821359,medium-slow,1.0
minhash,0.10083580017089844,0.0041928955453698034,fast,30.0
similarity,0.2138969898223877,0.018029442091715697,slow,3.375
gap,6.891517400741577,0.8352436065571762,slow,10.0
sum,0.1408216953277588,0.00908641118270431,medium-slow,2.5
helm,0.13592529296875,0.008487184344928239,medium-fast,2.5
polynomial,0.13734745979309082,0.008661230607154185,medium-slow,2.5
backdiff,0.14043951034545898,0.009039638985160607,medium-slow,2.5
target,0.13071537017822266,0.007849588549092295,medium-fast,1.0
mestimate,0.12153458595275879,0.006726034581022795,fast,1.0
jamesstein,0.13722777366638184,0.008646583293887225,medium-fast,1.0
loout,0.11412572860717773,0.005819330876300025,fast,1.0
glmm,1.7787704467773438,0.20954029115532494,slow,1.0
catboost,0.11528611183166504,0.005961339787993854,fast,1.0
