method,time,time_norm,class,dim_fin
onehot,0.07775640487670898,0.03943710119884926,medium-slow,2.875
binary,0.0757296085357666,0.037966414505285456,medium-fast,2.375
basen,0.07665348052978516,0.0386367957472052,medium-fast,1.375
hash,0.5648374557495117,0.392873510045252,slow,1.0
ordinal,0.034123897552490234,0.0077764224062690235,fast,1.0
gray,0.09919071197509766,0.05499029201460895,slow,2.375
rankhot,1.401536226272583,1.0,slow,2.875
count,0.06678318977355957,0.03147470206095089,fast,1.0
minhash,0.023406982421875,0.0,fast,30.0
similarity,0.04715275764465332,0.017230441432640176,fast,2.875
gap,1.0333011150360107,0.7328007421077097,slow,10.0
sum,0.09558320045471191,0.05237260464132182,medium-slow,2.0
helm,0.0764322280883789,0.038476250252366104,medium-fast,2.0
polynomial,0.07745862007141113,0.039221022186937585,medium-fast,2.0
backdiff,0.0759284496307373,0.03811069784870767,medium-fast,2.0
target,0.08112907409667969,0.04188438198548067,medium-slow,1.0
mestimate,0.07227230072021484,0.03545771814681366,fast,1.0
jamesstein,0.08674359321594238,0.04595839691863371,medium-slow,1.0
loout,0.06958436965942383,0.03350729798645155,fast,1.0
glmm,0.429196834564209,0.29444977962189806,slow,1.0
catboost,0.08978676795959473,0.048166589479114646,medium-slow,1.0
