encoding,model,mae,mse,rmse,nrmse,r2
onehot,RF,20.01068825910931,654.9764210526315,25.592507127138433,0.2015158041506963,0.9226921575784013
binary,RF,20.243238866396762,681.4082898785425,26.103798380284477,0.20554171952979902,0.9195723647363659
basen,RF,20.105222672064777,670.4634870445345,25.893309696609556,0.20388432831976028,0.9208641961147646
hash,RF,20.16983805668016,664.7208101214575,25.782180088608825,0.20300929203628995,0.9215420128244621
ordinal,RF,20.132955465587045,664.577044534413,25.779391857342425,0.20298733745938918,0.9215589816908085
gray,RF,19.948097165991904,656.052510931174,25.613522032925772,0.20168127584980922,0.9225651450874354
rankhot,RF,20.073927125506074,664.4246299595142,25.77643555574576,0.2029640594940611,0.9215769714100721
count,RF,20.047489878542507,662.8062910931174,25.745024589095216,0.20271672904799382,0.9217679863566363
minhash,RF,20.354129554655874,688.4003550607289,26.237384684086347,0.2065935801896563,0.918747080869754
similarity,RF,20.141255060728742,670.6533048582994,25.896974820590522,0.20391318756370488,0.9208417916355135
gap,RF,20.098380566801616,660.1233676113359,25.69286608401904,0.20230603215763024,0.9220846558108212
sum,RF,19.92109311740891,652.3734789473683,25.541602904817235,0.20111498350249793,0.922999386711601
helm,RF,20.03473684210526,656.4572793522266,25.621422274187406,0.20174348247391657,0.9225173696678841
polynomial,RF,20.476882591093123,689.471368825911,26.257786822691493,0.20675422695032672,0.9186206675200077
backdiff,RF,20.012145748987855,661.6630234817816,25.722811344831296,0.20254182161284484,0.9219029279354504
target,RF,19.978455284552847,641.5492642276424,25.328822795930378,0.19943954957425494,0.9243754232000939
mestimate,RF,19.79113821138211,638.0605357723576,25.25986016929543,0.19889653676610575,0.924786667710394
jamesstein,RF,19.844349593495938,644.7083695121952,25.39110807964464,0.19992998487909164,0.924003034026679
loout,RF,33.10451219512195,1682.4546524390244,41.017735827798006,0.3229742978566772,0.8016755249046825
glmm,RF,19.91113821138212,644.1525097560979,25.380159766165733,0.19984377768634434,0.924068557691281
catboost,RF,20.41414634146341,676.6400739837399,26.01230620271374,0.20482130868278536,0.920238986942832
quantile,RF,20.133333333333333,662.240581300813,25.734035464746157,0.20263020050981226,0.9219363710737151
summary,RF,19.97223577235772,659.6396459349593,25.68345081827906,0.20223189620692172,0.9222429642650632
onehot,mlp,40.77923813850787,2661.287522248713,51.58766831568096,0.4062021127218973,0.6858842703407212
binary,mlp,44.977047095834905,3155.4933726073273,56.17377833658092,0.4423132152486686,0.6275524178108942
basen,mlp,40.66818538171347,2712.9199232749907,52.08569787643236,0.4101236053262391,0.6797900211523713
hash,mlp,36.31477265541234,2095.5075998282823,45.776714602822715,0.3604465716757694,0.7526641171899993
ordinal,mlp,43.2776258887057,2909.5805765169903,53.94052814458708,0.4247285680676148,0.6565778713669983
gray,mlp,58.409839823904775,5241.905784489446,72.40100679196006,0.5700866676532288,0.3812900535794811
rankhot,mlp,44.889640667399846,3137.84907726054,56.0165071854765,0.4410748597281614,0.6296350002680113
count,mlp,43.418587051248544,2980.852111094289,54.597180431724574,0.4298990585175163,0.6481655859974087
minhash,mlp,24353.362926427817,900420877.3128563,30007.013801990634,236.2756992282727,-106277.0171300646
similarity,mlp,35.617359448969104,1955.1760927339628,44.2173732002927,0.3481682929156905,0.769227653965564
gap,mlp,44.39002484917883,3058.8853682171407,55.30719092683284,0.4354896923372664,0.6389552044456539
sum,mlp,36.91682110086085,2166.051390136772,46.54085721317101,0.36646344262339375,0.7443377285602735
helm,mlp,43.527544321772204,2909.542690290639,53.94017695828072,0.42472580282110806,0.656582343134718
polynomial,mlp,35.98492391903384,2015.9196906061086,44.89899431619943,0.3535353883165309,0.7620579966443527
backdiff,mlp,53.00825518410222,4242.716332920715,65.13613692045848,0.5128829678776259,0.4992258726232507
target,mlp,28.61222702246931,1343.7101658579063,36.65665240932274,0.2886350583411239,0.8416060647235367
mestimate,mlp,32.725175211603364,1724.4370648242839,41.52634181846848,0.3269790694367597,0.7967267199621709
jamesstein,mlp,39.68796526047783,2469.877275612864,49.697859869544324,0.3913217312562545,0.7088556808793236
loout,mlp,38.84087134897985,2388.2337094409113,48.86955810564396,0.3847996701231808,0.718479665325198
