encoding,model,mae,mse,rmse,nrmse,r2
onehot,RF,27.32910997710623,12041.38022744969,109.73322298852655,16.778780273475007,-0.02151537366825984
binary,RF,27.95671584020147,12188.486415614414,110.40147832168921,16.88095998802587,-0.03399494244970569
basen,RF,26.70358252518315,11885.147086359491,109.0190216721811,16.669575179232584,-0.008261531294251334
hash,RF,26.9975676510989,11896.102789602799,109.06925684904431,16.67725639893644,-0.009190944624035247
ordinal,RF,27.756936114926738,12113.259922741358,110.06025587259624,16.828785301620222,-0.027613197373522747
gray,RF,27.41158481684982,12016.873927864044,109.62150303596482,16.761697711921226,-0.019436412510518863
rankhot,RF,28.0640064812271,12201.48206120487,110.46031894397585,16.88995702507276,-0.03509741172736658
count,RF,27.352999212454208,12110.626523225135,110.04829177786057,16.826955929336478,-0.02738979623179172
minhash,RF,26.56304475503663,11768.616283236504,108.48325346907929,16.587653435639034,0.0016242130845102176
similarity,RF,26.974984562728938,11864.969974792424,108.92644295483271,16.65541941205393,-0.006549831366780001
gap,RF,26.7114369551282,12040.0698447752,109.72725206062167,16.77786728755683,-0.021404208999252106
sum,RF,26.803453305860803,11879.183397752391,108.99166664361267,16.665392453151785,-0.007755609258666585
helm,RF,26.951448308150177,12034.132977850726,109.70019588793234,16.77373025809363,-0.020900562347438312
polynomial,RF,26.87560374084249,11943.008810036883,109.28407390849264,16.710103044112024,-0.013170157977151042
backdiff,RF,27.68609785943223,12027.546610984758,109.67017192922039,16.769139438718714,-0.02034181618353359
target,RF,28.45106737864078,12068.839734581414,109.8582711250337,17.165354863286513,-0.014180743846823107
mestimate,RF,28.540998388811836,12046.257879252546,109.75544578403637,17.14928840375568,-0.012283122920657918
jamesstein,RF,28.533422078132226,12015.687340134931,109.61609069901613,17.12751417172127,-0.00971418897307541
loout,RF,26.266219417475728,11601.908514607965,107.71215583492871,16.83002434920761,0.025056884824397496
glmm,RF,28.198572022653718,12291.873821462557,110.8687233689581,17.323238026399704,-0.03292296605797573
catboost,RF,29.002649514563103,12056.277344180291,109.80108079695887,17.15641887452482,-0.013125088562496057
quantile,RF,27.839100810217282,12099.592844350542,109.99814927693347,17.187210824520854,-0.016765019752972288
summary,RF,27.540021239019886,12122.08990418405,110.10036287035592,17.20318169849311,-0.018655515059736283
onehot,mlp,23.475314273420572,11884.493084878515,109.01602214756561,16.669116536325017,-0.0082060498997103
binary,mlp,29.398230097413315,11735.928505151784,108.33249053331961,16.564600998978534,0.004397239698891164
basen,mlp,26.993402424078074,11810.809703442712,108.67754921529429,16.61736226533552,-0.0019552127449335988
hash,mlp,25.150014184189025,11881.362335888514,109.00166207855968,16.666920807119215,-0.007940456739792268
ordinal,mlp,22.99089605141214,11898.219939525326,109.0789619474137,16.67874035893176,-0.009370550379635523
gray,mlp,27.615560205987165,11813.8575670783,108.69157081889239,16.619506241420854,-0.0022137744298722506
rankhot,mlp,25.6965682426248,11842.368064669512,108.82264499941871,16.639548165048733,-0.004632426698153225
count,mlp,23.775426175648814,11892.108105014091,109.05094270575606,16.67445607121652,-0.00885206057227017
minhash,mlp,11016065.468569389,1561923229614086.8,39521174.446290016,6042993.03460092,-132503796191.99629
similarity,mlp,22.59084840117294,12038.367990793076,109.71949685809298,16.776681476772627,-0.02125983435335277
gap,mlp,27.0669254149638,11776.372840222282,108.51899760052284,16.593118899162512,0.0009661953109625365
sum,mlp,22.32295810925514,11934.72575206599,109.2461704228848,16.704307404110825,-0.012467475153552066
