encoding,model,mae,mse,rmse,nrmse,r2
onehot,RF,20.01068825910931,654.9764210526315,25.592507127138433,0.2015158041506963,0.9226921575784013
binary,RF,20.243238866396762,681.4082898785425,26.103798380284477,0.20554171952979902,0.9195723647363659
basen,RF,20.105222672064777,670.4634870445345,25.893309696609556,0.20388432831976028,0.9208641961147646
hash,RF,20.16983805668016,664.7208101214575,25.782180088608825,0.20300929203628995,0.9215420128244621
ordinal,RF,20.132955465587045,664.577044534413,25.779391857342425,0.20298733745938918,0.9215589816908085
gray,RF,19.948097165991904,656.052510931174,25.613522032925772,0.20168127584980922,0.9225651450874354
rankhot,RF,20.073927125506074,664.4246299595142,25.77643555574576,0.2029640594940611,0.9215769714100721
count,RF,20.047489878542507,662.8062910931174,25.745024589095216,0.20271672904799382,0.9217679863566363
minhash,RF,20.354129554655874,688.4003550607289,26.237384684086347,0.2065935801896563,0.918747080869754
similarity,RF,20.141255060728742,670.6533048582994,25.896974820590522,0.20391318756370488,0.9208417916355135
gap,RF,20.098380566801616,660.1233676113359,25.69286608401904,0.20230603215763024,0.9220846558108212
sum,RF,19.92109311740891,652.3734789473683,25.541602904817235,0.20111498350249793,0.922999386711601
helm,RF,20.03473684210526,656.4572793522266,25.621422274187406,0.20174348247391657,0.9225173696678841
polynomial,RF,20.476882591093123,689.471368825911,26.257786822691493,0.20675422695032672,0.9186206675200077
backdiff,RF,20.012145748987855,661.6630234817816,25.722811344831296,0.20254182161284484,0.9219029279354504
target,RF,19.978455284552847,641.5492642276424,25.328822795930378,0.19943954957425494,0.9243754232000939
mestimate,RF,19.79113821138211,638.0605357723576,25.25986016929543,0.19889653676610575,0.924786667710394
jamesstein,RF,19.844349593495938,644.7083695121952,25.39110807964464,0.19992998487909164,0.924003034026679
loout,RF,33.10451219512195,1682.4546524390244,41.017735827798006,0.3229742978566772,0.8016755249046825
glmm,RF,19.91113821138212,644.1525097560979,25.380159766165733,0.19984377768634434,0.924068557691281
catboost,RF,20.41414634146341,676.6400739837399,26.01230620271374,0.20482130868278536,0.920238986942832
quantile,RF,20.133333333333333,662.240581300813,25.734035464746157,0.20263020050981226,0.9219363710737151
summary,RF,19.97223577235772,659.6396459349593,25.68345081827906,0.20223189620692172,0.9222429642650632
onehot,mlp,36.14497744212978,2083.511835314054,45.6455018081087,0.35941340006384803,0.7540799951406927
binary,mlp,46.875710721058454,3493.1590649266077,59.102953098187974,0.465377583450299,0.5876972332669282
basen,mlp,40.719086834910655,2606.4219756793386,51.053128950920716,0.4019931413458324,0.6923601325125889
hash,mlp,42.07424282760332,2817.5828588990003,53.08090861033749,0.41795991031761803,0.6674364989880175
ordinal,mlp,44.429443940809705,2999.1054260502533,54.76408883611827,0.4312132979221911,0.6460111200488182
gray,mlp,43.36682378921062,2958.0108961224396,54.38759873466046,0.4282488089343343,0.650861568617552
rankhot,mlp,42.78767757185294,2851.455070815187,53.39901750795783,0.42046470478706954,0.6634385113702661
count,mlp,40.70964433223036,2637.13234518004,51.35301690436541,0.4043544638139009,0.688735341864013
minhash,mlp,29525.884435897206,1174995378.8835332,34278.20559602753,269.90713067738216,-138685.4544693825
similarity,mlp,48.46322097594574,3630.295436213918,60.25193304960363,0.4744246696819183,0.5715108231291237
gap,mlp,37.140926268320705,2103.1845740234335,45.86049033779985,0.3611062231322823,0.7517579924925641
sum,mlp,39.78274831436942,2441.3320227862905,49.40983730783062,0.38905383706953245,0.7118459455180915
helm,mlp,30.505539930437354,1529.5849249406226,39.10990827067513,0.30795203362736323,0.819460813325583
polynomial,mlp,35.25471134515693,1917.597692637743,43.790383563491915,0.34480616979127493,0.7736630884937651
backdiff,mlp,60.02338571204101,5452.544263879018,73.84134521986323,0.5814279151170333,0.3564280801569817
target,mlp,53.661605267562244,4407.026990524153,66.38544260998907,0.522720020551095,0.48050824825528193
mestimate,mlp,38.13138336388127,2284.297488663955,47.794324858333916,0.37633326660105443,0.730731464444478
jamesstein,mlp,51.84894521149177,4126.453213691473,64.2374751503472,0.5058068909476157,0.5135817381916585
loout,mlp,39.3570153998522,2408.343728628125,49.07487879382001,0.38641636845527566,0.7161091354605867
