encoding,model,mae,mse,rmse,nrmse,r2
onehot,RF,27.32910997710623,12041.38022744969,109.73322298852655,16.778780273475007,-0.02151537366825984
binary,RF,27.95671584020147,12188.486415614414,110.40147832168921,16.88095998802587,-0.03399494244970569
basen,RF,26.70358252518315,11885.147086359491,109.0190216721811,16.669575179232584,-0.008261531294251334
hash,RF,26.9975676510989,11896.102789602799,109.06925684904431,16.67725639893644,-0.009190944624035247
ordinal,RF,27.756936114926738,12113.259922741358,110.06025587259624,16.828785301620222,-0.027613197373522747
gray,RF,27.41158481684982,12016.873927864044,109.62150303596482,16.761697711921226,-0.019436412510518863
rankhot,RF,28.0640064812271,12201.48206120487,110.46031894397585,16.88995702507276,-0.03509741172736658
count,RF,27.352999212454208,12110.626523225135,110.04829177786057,16.826955929336478,-0.02738979623179172
minhash,RF,26.56304475503663,11768.616283236504,108.48325346907929,16.587653435639034,0.0016242130845102176
similarity,RF,26.974984562728938,11864.969974792424,108.92644295483271,16.65541941205393,-0.006549831366780001
gap,RF,26.7114369551282,12040.0698447752,109.72725206062167,16.77786728755683,-0.021404208999252106
sum,RF,26.803453305860803,11879.183397752391,108.99166664361267,16.665392453151785,-0.007755609258666585
helm,RF,26.951448308150177,12034.132977850726,109.70019588793234,16.77373025809363,-0.020900562347438312
polynomial,RF,26.87560374084249,11943.008810036883,109.28407390849264,16.710103044112024,-0.013170157977151042
backdiff,RF,27.68609785943223,12027.546610984758,109.67017192922039,16.769139438718714,-0.02034181618353359
target,RF,28.45106737864078,12068.839734581414,109.8582711250337,17.165354863286513,-0.014180743846823107
mestimate,RF,28.540998388811836,12046.257879252546,109.75544578403637,17.14928840375568,-0.012283122920657918
jamesstein,RF,28.533422078132226,12015.687340134931,109.61609069901613,17.12751417172127,-0.00971418897307541
loout,RF,26.266219417475728,11601.908514607965,107.71215583492871,16.83002434920761,0.025056884824397496
glmm,RF,28.198572022653718,12291.873821462557,110.8687233689581,17.323238026399704,-0.03292296605797573
catboost,RF,29.002649514563103,12056.277344180291,109.80108079695887,17.15641887452482,-0.013125088562496057
quantile,RF,27.839100810217282,12099.592844350542,109.99814927693347,17.187210824520854,-0.016765019752972288
summary,RF,27.540021239019886,12122.08990418405,110.10036287035592,17.20318169849311,-0.018655515059736283
onehot,mlp,22.73880172073457,11939.1791262911,109.26655081172417,16.707423671517457,-0.01284527156473736
binary,mlp,25.590815374970532,11799.825290874,108.627000745091,16.609633141451223,-0.0010233638955736701
basen,mlp,23.713586525034433,11935.29507186715,109.24877606576264,16.704705820453004,-0.012515772684103865
hash,mlp,22.24572853708499,12099.069287745815,109.9957694083996,16.81892498599382,-0.02640935266998823
ordinal,mlp,22.782969114398323,11950.420649834265,109.31797953600434,16.71528739082635,-0.013798932100812733
gray,mlp,24.761548405842326,11940.389481072305,109.27208921345058,16.70827052193434,-0.012947950493003013
rankhot,mlp,23.466392336756673,11928.491634027128,109.21763426309475,16.699944076925803,-0.011938611576647329
count,mlp,23.876525174382166,11962.382811433632,109.37267854191755,16.723651153198404,-0.014813727061626425
minhash,mlp,9722908.878376432,4281157747850744.0,65430556.6830265,10004672.275692126,-363186642553.41064
similarity,mlp,30.21162113753808,11769.564447549094,108.48762347636293,16.588321632471395,0.0015437767554699056
gap,mlp,25.348371320135303,11817.661552458525,108.70906840028813,16.622181712582282,-0.002536480753708048
sum,mlp,23.808192870376825,11869.905536636435,108.94909607994201,16.658883192651682,-0.0069685335592293285
