encoding,model,mae,mse,rmse,nrmse,r2
onehot,RF,20.01068825910931,654.9764210526315,25.592507127138433,0.2015158041506963,0.9226921575784013
binary,RF,20.243238866396762,681.4082898785425,26.103798380284477,0.20554171952979902,0.9195723647363659
basen,RF,20.105222672064777,670.4634870445345,25.893309696609556,0.20388432831976028,0.9208641961147646
hash,RF,20.16983805668016,664.7208101214575,25.782180088608825,0.20300929203628995,0.9215420128244621
ordinal,RF,20.132955465587045,664.577044534413,25.779391857342425,0.20298733745938918,0.9215589816908085
gray,RF,19.948097165991904,656.052510931174,25.613522032925772,0.20168127584980922,0.9225651450874354
rankhot,RF,20.073927125506074,664.4246299595142,25.77643555574576,0.2029640594940611,0.9215769714100721
count,RF,20.047489878542507,662.8062910931174,25.745024589095216,0.20271672904799382,0.9217679863566363
minhash,RF,20.354129554655874,688.4003550607289,26.237384684086347,0.2065935801896563,0.918747080869754
similarity,RF,20.141255060728742,670.6533048582994,25.896974820590522,0.20391318756370488,0.9208417916355135
gap,RF,20.098380566801616,660.1233676113359,25.69286608401904,0.20230603215763024,0.9220846558108212
sum,RF,19.92109311740891,652.3734789473683,25.541602904817235,0.20111498350249793,0.922999386711601
helm,RF,20.03473684210526,656.4572793522266,25.621422274187406,0.20174348247391657,0.9225173696678841
polynomial,RF,20.476882591093123,689.471368825911,26.257786822691493,0.20675422695032672,0.9186206675200077
backdiff,RF,20.012145748987855,661.6630234817816,25.722811344831296,0.20254182161284484,0.9219029279354504
target,RF,19.978455284552847,641.5492642276424,25.328822795930378,0.19943954957425494,0.9243754232000939
mestimate,RF,19.79113821138211,638.0605357723576,25.25986016929543,0.19889653676610575,0.924786667710394
jamesstein,RF,19.844349593495938,644.7083695121952,25.39110807964464,0.19992998487909164,0.924003034026679
loout,RF,33.10451219512195,1682.4546524390244,41.017735827798006,0.3229742978566772,0.8016755249046825
glmm,RF,19.91113821138212,644.1525097560979,25.380159766165733,0.19984377768634434,0.924068557691281
catboost,RF,20.41414634146341,676.6400739837399,26.01230620271374,0.20482130868278536,0.920238986942832
quantile,RF,20.133333333333333,662.240581300813,25.734035464746157,0.20263020050981226,0.9219363710737151
summary,RF,19.97223577235772,659.6396459349593,25.68345081827906,0.20223189620692172,0.9222429642650632
onehot,mlp,38.885805485525495,2416.6884677509724,49.15982574980278,0.3870852421244313,0.7147546610201192
binary,mlp,32.63618134686568,1723.7256942605252,41.517775642012964,0.3269116192284485,0.7965460891923536
basen,mlp,37.605380798017805,2301.532008531148,47.97428486732395,0.3777502745458579,0.7283467494023055
hash,mlp,45.926974336218656,3289.5007710332225,57.3541696046,0.4516076346818898,0.6117353249998463
ordinal,mlp,35.02622930765812,1943.6227716617739,44.0865373063226,0.34713808902616217,0.7705913096578705
gray,mlp,36.650916503416745,2106.4694151461927,45.8962897753859,0.36138810846760555,0.7513702778027893
rankhot,mlp,60.37973413121916,5550.454394582844,74.5013717630947,0.5866249745125567,0.3448716016141896
count,mlp,48.84536976073307,3727.047690598322,61.049551108901056,0.4807051268417406,0.5600910104527176
minhash,mlp,22884.65217547986,1405240051.578075,37486.531602404546,295.16954017641376,-165861.57608682296
similarity,mlp,39.95826762568936,2483.9185312223412,49.83892586344876,0.39243248711376977,0.7068193965040535
gap,mlp,53.10861819765683,4326.245361008926,65.77419981276037,0.5179070851398454,0.4893668170397004
sum,mlp,42.41352721083814,2796.763895152381,52.88443906436355,0.41641290601861064,0.669893792284344
helm,mlp,48.54861947348515,3574.4301089514133,59.7865378572084,0.4707601406079402,0.5781046909051573
polynomial,mlp,28.614255127046864,1335.6317890813834,36.5462965166292,0.28776611430416693,0.8423533908020111
backdiff,mlp,56.98455343075373,4911.96982035304,70.08544656598144,0.5518539099683578,0.4202328867942754
target,mlp,48.21075106956705,3606.543727045946,60.054506300909225,0.4728701283536159,0.5748676551027458
mestimate,mlp,49.48152708336067,3756.815318323948,61.2928651502273,0.48262098543486065,0.5571539328227761
jamesstein,mlp,41.36033363528445,2673.64337654226,51.70728552672495,0.4071439805253933,0.6848361300697623
loout,mlp,40.22622147107515,2553.433616877959,50.53151112798784,0.39788591439360504,0.6990062222337297
