encoding,model,mae,mse,rmse,nrmse,r2
onehot,RF,27.32910997710623,12041.38022744969,109.73322298852655,16.778780273475007,-0.02151537366825984
binary,RF,27.95671584020147,12188.486415614414,110.40147832168921,16.88095998802587,-0.03399494244970569
basen,RF,26.70358252518315,11885.147086359491,109.0190216721811,16.669575179232584,-0.008261531294251334
hash,RF,26.9975676510989,11896.102789602799,109.06925684904431,16.67725639893644,-0.009190944624035247
ordinal,RF,27.756936114926738,12113.259922741358,110.06025587259624,16.828785301620222,-0.027613197373522747
gray,RF,27.41158481684982,12016.873927864044,109.62150303596482,16.761697711921226,-0.019436412510518863
rankhot,RF,28.0640064812271,12201.48206120487,110.46031894397585,16.88995702507276,-0.03509741172736658
count,RF,27.352999212454208,12110.626523225135,110.04829177786057,16.826955929336478,-0.02738979623179172
minhash,RF,26.56304475503663,11768.616283236504,108.48325346907929,16.587653435639034,0.0016242130845102176
similarity,RF,26.974984562728938,11864.969974792424,108.92644295483271,16.65541941205393,-0.006549831366780001
gap,RF,26.7114369551282,12040.0698447752,109.72725206062167,16.77786728755683,-0.021404208999252106
sum,RF,26.803453305860803,11879.183397752391,108.99166664361267,16.665392453151785,-0.007755609258666585
helm,RF,26.951448308150177,12034.132977850726,109.70019588793234,16.77373025809363,-0.020900562347438312
polynomial,RF,26.87560374084249,11943.008810036883,109.28407390849264,16.710103044112024,-0.013170157977151042
backdiff,RF,27.68609785943223,12027.546610984758,109.67017192922039,16.769139438718714,-0.02034181618353359
target,RF,28.45106737864078,12068.839734581414,109.8582711250337,17.165354863286513,-0.014180743846823107
mestimate,RF,28.540998388811836,12046.257879252546,109.75544578403637,17.14928840375568,-0.012283122920657918
jamesstein,RF,28.533422078132226,12015.687340134931,109.61609069901613,17.12751417172127,-0.00971418897307541
loout,RF,26.266219417475728,11601.908514607965,107.71215583492871,16.83002434920761,0.025056884824397496
glmm,RF,28.198572022653718,12291.873821462557,110.8687233689581,17.323238026399704,-0.03292296605797573
catboost,RF,29.002649514563103,12056.277344180291,109.80108079695887,17.15641887452482,-0.013125088562496057
quantile,RF,27.839100810217282,12099.592844350542,109.99814927693347,17.187210824520854,-0.016765019752972288
summary,RF,27.540021239019886,12122.08990418405,110.10036287035592,17.20318169849311,-0.018655515059736283
onehot,mlp,22.49568607719848,12010.441177222263,109.59215837468602,16.757210760655354,-0.018890698186128096
binary,mlp,22.676762511277566,11947.99040123635,109.30686346811142,16.71358768625557,-0.013592765012180541
basen,mlp,21.888477517556176,12007.293129639338,109.57779487487115,16.75501450686103,-0.018623637521797853
hash,mlp,21.98539968721831,11972.025186630906,109.4167500277307,16.73038991249705,-0.01563172585550543
ordinal,mlp,22.454810545967437,12029.50310452613,109.6790914647187,16.77050328206708,-0.020507792856742313
gray,mlp,24.253784049481553,11903.221720459262,109.10188687854698,16.682245700083637,-0.009794870185440452
rankhot,mlp,23.814513611725168,11866.409324496695,108.93304973467279,16.656429623038655,-0.006671936791841526
count,mlp,29.40380133155709,11790.702348888259,108.58500057046672,16.60321109640164,-0.00024943056604764813
minhash,mlp,14339384.769957015,5036382047663939.0,70967471.75758721,10851295.375777861,-427255147845.55023
similarity,mlp,22.04528427170663,11946.246311441973,109.29888522506519,16.712367771416694,-0.013444807344175747
gap,mlp,31.950677290867247,11749.202721360287,108.3937393088747,16.573966255179617,0.0032711382325930627
sum,mlp,26.690194422931214,11765.365131467495,108.468267855016,16.585362057341897,0.001900020463019847
