encoding,model,mae,mse,rmse,nrmse,r2
onehot,RF,27.329,12041.38,109.733,16.779,-0.022
binary,RF,27.957,12188.486,110.401,16.881,-0.034
basen,RF,26.704,11885.147,109.019,16.67,-0.008
hash,RF,26.998,11896.103,109.069,16.677,-0.009
ordinal,RF,27.757,12113.26,110.06,16.829,-0.028
gray,RF,27.412,12016.874,109.622,16.762,-0.019
rankhot,RF,28.064,12201.482,110.46,16.89,-0.035
count,RF,27.353,12110.627,110.048,16.827,-0.027
minhash,RF,26.563,11768.616,108.483,16.588,0.002
similarity,RF,26.975,11864.97,108.926,16.655,-0.007
gap,RF,26.711,12040.07,109.727,16.778,-0.021
sum,RF,26.803,11879.183,108.992,16.665,-0.008
helm,RF,26.951,12034.133,109.7,16.774,-0.021
polynomial,RF,26.876,11943.009,109.284,16.71,-0.013
backdiff,RF,27.686,12027.547,109.67,16.769,-0.02
target,RF,28.451,12068.84,109.858,17.165,-0.014
mestimate,RF,28.541,12046.258,109.755,17.149,-0.012
jamesstein,RF,28.533,12015.687,109.616,17.128,-0.01
loout,RF,26.266,11601.909,107.712,16.83,0.025
glmm,RF,28.199,12291.874,110.869,17.323,-0.033
catboost,RF,29.003,12056.277,109.801,17.156,-0.013
quantile,RF,27.839,12099.593,109.998,17.187,-0.017
summary,RF,27.54,12122.09,110.1,17.203,-0.019
onehot,mlp,23.475,11884.493,109.016,16.669,-0.008
binary,mlp,29.398,11735.929,108.332,16.565,0.004
basen,mlp,26.993,11810.81,108.678,16.617,-0.002
hash,mlp,25.15,11881.362,109.002,16.667,-0.008
ordinal,mlp,22.991,11898.22,109.079,16.679,-0.009
gray,mlp,27.616,11813.858,108.692,16.62,-0.002
rankhot,mlp,25.697,11842.368,108.823,16.64,-0.005
count,mlp,23.775,11892.108,109.051,16.674,-0.009
minhash,mlp,11016065.469,1561923229614086.8,39521174.446,6042993.035,-132503796191.996
similarity,mlp,22.591,12038.368,109.719,16.777,-0.021
gap,mlp,27.067,11776.373,108.519,16.593,0.001
sum,mlp,22.323,11934.726,109.246,16.704,-0.012
helm,mlp,26.237,11839.223,108.808,16.637,-0.004
polynomial,mlp,24.964,11812.64,108.686,16.619,-0.002
backdiff,mlp,23.678,12019.1,109.632,16.763,-0.02
target,mlp,22.0,12141.265,110.187,17.217,-0.02
mestimate,mlp,26.2,11912.942,109.146,17.054,-0.001
jamesstein,mlp,22.962,11964.773,109.384,17.091,-0.005
loout,mlp,21.717,12083.064,109.923,17.175,-0.015
glmm,mlp,24.73,11998.648,109.538,17.115,-0.008
catboost,mlp,22.629,12088.46,109.948,17.179,-0.016
quantile,mlp,25.176,11907.376,109.121,17.05,-0.001
summary,mlp,24.525,11970.393,109.409,17.095,-0.006
onehot,knn,26.114,11886.104,109.023,16.67,-0.008
binary,knn,26.114,11886.104,109.023,16.67,-0.008
basen,knn,26.135,11886.251,109.024,16.67,-0.008
hash,knn,26.114,11886.104,109.023,16.67,-0.008
ordinal,knn,26.027,11886.041,109.023,16.67,-0.008
gray,knn,26.101,11886.045,109.023,16.67,-0.008
rankhot,knn,26.101,11886.045,109.023,16.67,-0.008
count,knn,25.118,11873.43,108.965,16.661,-0.007
minhash,knn,22.166,11487.417,107.179,16.388,0.025
similarity,knn,26.114,11886.104,109.023,16.67,-0.008
gap,knn,26.165,11886.36,109.025,16.67,-0.008
sum,knn,26.114,11886.104,109.023,16.67,-0.008
helm,knn,25.914,11881.846,109.004,16.667,-0.008
polynomial,knn,26.114,11886.104,109.023,16.67,-0.008
backdiff,knn,26.114,11886.821,109.027,16.671,-0.008
target,knn,25.882,11990.122,109.499,17.109,-0.008
mestimate,knn,25.801,11988.799,109.493,17.108,-0.007
jamesstein,knn,25.864,11991.335,109.505,17.11,-0.008
loout,knn,25.781,11985.162,109.477,17.106,-0.007
glmm,knn,26.133,11993.365,109.514,17.112,-0.008
catboost,knn,26.879,12031.738,109.689,17.139,-0.011
quantile,knn,25.908,11991.639,109.506,17.11,-0.008
summary,knn,25.908,11991.639,109.506,17.11,-0.008
onehot,svm,19.636,12146.115,110.209,16.852,-0.03
binary,svm,19.636,12146.347,110.21,16.852,-0.03
basen,svm,19.636,12146.534,110.211,16.852,-0.03
hash,svm,19.636,12146.308,110.21,16.852,-0.03
ordinal,svm,19.635,12146.638,110.212,16.852,-0.03
gray,svm,19.636,12146.358,110.211,16.852,-0.03
rankhot,svm,19.636,12146.096,110.209,16.852,-0.03
count,svm,19.634,12145.015,110.204,16.851,-0.03
minhash,svm,19.694,12129.003,110.132,16.84,-0.029
similarity,svm,19.636,12146.115,110.209,16.852,-0.03
gap,svm,19.636,12146.071,110.209,16.852,-0.03
sum,svm,19.636,12146.127,110.209,16.852,-0.03
helm,svm,19.636,12146.049,110.209,16.852,-0.03
polynomial,svm,19.636,12146.12,110.209,16.852,-0.03
backdiff,svm,19.636,12146.105,110.209,16.852,-0.03
target,svm,19.506,12251.653,110.687,17.295,-0.03
mestimate,svm,19.506,12251.668,110.687,17.295,-0.03
jamesstein,svm,19.506,12251.664,110.687,17.295,-0.03
loout,svm,19.506,12251.627,110.687,17.295,-0.03
glmm,svm,19.506,12251.62,110.687,17.295,-0.03
catboost,svm,19.505,12251.368,110.686,17.295,-0.03
quantile,svm,19.506,12251.624,110.687,17.295,-0.03
summary,svm,19.506,12251.537,110.687,17.295,-0.03
onehot,lgr,24.527,11613.675,107.767,16.478,0.015
binary,lgr,24.442,11723.884,108.277,16.556,0.005
basen,lgr,24.506,11809.937,108.674,16.617,-0.002
hash,lgr,24.561,11744.241,108.371,16.57,0.004
ordinal,lgr,24.473,11791.458,108.588,16.604,-0.0
gray,lgr,24.258,11729.521,108.303,16.56,0.005
rankhot,lgr,24.527,11613.675,107.767,16.478,0.015
count,lgr,24.584,11792.059,108.591,16.604,-0.0
minhash,lgr,24.488,11614.269,107.77,16.479,0.015
similarity,lgr,24.527,11613.675,107.767,16.478,0.015
gap,lgr,24.461,11612.664,107.762,16.477,0.015
sum,lgr,24.527,11613.675,107.767,16.478,0.015
helm,lgr,24.527,11613.675,107.767,16.478,0.015
polynomial,lgr,24.527,11613.675,107.767,16.478,0.015
backdiff,lgr,24.527,11613.675,107.767,16.478,0.015
target,lgr,24.682,11864.958,108.926,17.02,0.003
mestimate,lgr,24.804,11876.348,108.979,17.028,0.002
jamesstein,lgr,24.887,11860.016,108.904,17.016,0.003
loout,lgr,27.338,11948.185,109.308,17.079,-0.004
glmm,lgr,24.684,11828.043,108.757,16.993,0.006
catboost,lgr,25.191,11971.606,109.415,17.096,-0.006
quantile,lgr,24.81,11856.534,108.888,17.014,0.004
summary,lgr,24.855,11824.495,108.74,16.991,0.006
onehot,dt,30.249,13885.882,117.838,18.018,-0.178
binary,dt,23.575,9544.636,97.697,14.938,0.19
basen,dt,21.925,9403.697,96.973,14.828,0.202
hash,dt,26.568,12930.038,113.71,17.387,-0.097
ordinal,dt,24.707,12498.825,111.798,17.095,-0.06
gray,dt,23.344,12403.292,111.37,17.029,-0.052
rankhot,dt,22.52,9470.769,97.318,14.88,0.197
count,dt,24.819,9563.073,97.791,14.953,0.189
minhash,dt,29.363,13274.774,115.216,17.617,-0.126
similarity,dt,30.677,13873.622,117.786,18.01,-0.177
gap,dt,27.923,13228.294,115.014,17.586,-0.122
sum,dt,30.414,13776.558,117.374,17.947,-0.169
helm,dt,31.173,13848.79,117.681,17.994,-0.175
polynomial,dt,30.763,13349.999,115.542,17.667,-0.133
backdiff,dt,23.438,12448.761,111.574,17.06,-0.056
target,dt,22.937,9542.053,97.683,15.263,0.198
mestimate,dt,25.358,12611.667,112.302,17.547,-0.06
jamesstein,dt,25.28,12616.062,112.321,17.55,-0.06
loout,dt,32.676,12854.562,113.378,17.715,-0.08
glmm,dt,24.549,12594.582,112.226,17.535,-0.058
catboost,dt,35.086,14930.743,122.191,19.092,-0.255
quantile,dt,26.131,12693.485,112.665,17.604,-0.067
summary,dt,30.672,14059.064,118.571,18.527,-0.181
