encoding,model,mae,mse,rmse,nrmse,r2
onehot,RF,20.011,654.976,25.593,0.202,0.923
binary,RF,20.243,681.408,26.104,0.206,0.92
basen,RF,20.105,670.463,25.893,0.204,0.921
hash,RF,20.17,664.721,25.782,0.203,0.922
ordinal,RF,20.133,664.577,25.779,0.203,0.922
gray,RF,19.948,656.053,25.614,0.202,0.923
rankhot,RF,20.074,664.425,25.776,0.203,0.922
count,RF,20.047,662.806,25.745,0.203,0.922
minhash,RF,20.354,688.4,26.237,0.207,0.919
similarity,RF,20.141,670.653,25.897,0.204,0.921
gap,RF,20.098,660.123,25.693,0.202,0.922
sum,RF,19.921,652.373,25.542,0.201,0.923
helm,RF,20.035,656.457,25.621,0.202,0.923
polynomial,RF,20.477,689.471,26.258,0.207,0.919
backdiff,RF,20.012,661.663,25.723,0.203,0.922
target,RF,19.978,641.549,25.329,0.199,0.924
mestimate,RF,19.791,638.061,25.26,0.199,0.925
jamesstein,RF,19.844,644.708,25.391,0.2,0.924
loout,RF,33.105,1682.455,41.018,0.323,0.802
glmm,RF,19.911,644.153,25.38,0.2,0.924
catboost,RF,20.414,676.64,26.012,0.205,0.92
quantile,RF,20.133,662.241,25.734,0.203,0.922
summary,RF,19.972,659.64,25.683,0.202,0.922
onehot,mlp,36.145,2083.512,45.646,0.359,0.754
binary,mlp,46.876,3493.159,59.103,0.465,0.588
basen,mlp,40.719,2606.422,51.053,0.402,0.692
hash,mlp,42.074,2817.583,53.081,0.418,0.667
ordinal,mlp,44.429,2999.105,54.764,0.431,0.646
gray,mlp,43.367,2958.011,54.388,0.428,0.651
rankhot,mlp,42.788,2851.455,53.399,0.42,0.663
count,mlp,40.71,2637.132,51.353,0.404,0.689
minhash,mlp,29525.884,1174995378.884,34278.206,269.907,-138685.454
similarity,mlp,48.463,3630.295,60.252,0.474,0.572
gap,mlp,37.141,2103.185,45.86,0.361,0.752
sum,mlp,39.783,2441.332,49.41,0.389,0.712
helm,mlp,30.506,1529.585,39.11,0.308,0.819
polynomial,mlp,35.255,1917.598,43.79,0.345,0.774
backdiff,mlp,60.023,5452.544,73.841,0.581,0.356
target,mlp,53.662,4407.027,66.385,0.523,0.481
mestimate,mlp,38.131,2284.297,47.794,0.376,0.731
jamesstein,mlp,51.849,4126.453,64.237,0.506,0.514
loout,mlp,39.357,2408.344,49.075,0.386,0.716
glmm,mlp,31.696,1584.992,39.812,0.313,0.813
catboost,mlp,38.653,2330.14,48.272,0.38,0.725
quantile,mlp,41.613,2658.821,51.564,0.406,0.687
summary,mlp,39.664,2471.462,49.714,0.391,0.709
onehot,knn,37.432,2355.278,48.531,0.382,0.722
binary,knn,37.346,2344.511,48.42,0.381,0.723
basen,knn,38.657,2578.78,50.782,0.4,0.696
hash,knn,37.345,2342.522,48.4,0.381,0.724
ordinal,knn,40.194,2595.809,50.949,0.401,0.694
gray,knn,37.181,2330.602,48.276,0.38,0.725
