encoding,model,mae,mse,rmse,nrmse,r2
onehot,RF,27.329,12041.38,109.733,16.779,-0.022
binary,RF,27.957,12188.486,110.401,16.881,-0.034
basen,RF,26.704,11885.147,109.019,16.67,-0.008
hash,RF,26.998,11896.103,109.069,16.677,-0.009
ordinal,RF,27.757,12113.26,110.06,16.829,-0.028
gray,RF,27.412,12016.874,109.622,16.762,-0.019
rankhot,RF,28.064,12201.482,110.46,16.89,-0.035
count,RF,27.353,12110.627,110.048,16.827,-0.027
minhash,RF,26.563,11768.616,108.483,16.588,0.002
similarity,RF,26.975,11864.97,108.926,16.655,-0.007
gap,RF,26.711,12040.07,109.727,16.778,-0.021
sum,RF,26.803,11879.183,108.992,16.665,-0.008
helm,RF,26.951,12034.133,109.7,16.774,-0.021
polynomial,RF,26.876,11943.009,109.284,16.71,-0.013
backdiff,RF,27.686,12027.547,109.67,16.769,-0.02
target,RF,28.451,12068.84,109.858,17.165,-0.014
mestimate,RF,28.541,12046.258,109.755,17.149,-0.012
jamesstein,RF,28.533,12015.687,109.616,17.128,-0.01
loout,RF,26.266,11601.909,107.712,16.83,0.025
glmm,RF,28.199,12291.874,110.869,17.323,-0.033
catboost,RF,29.003,12056.277,109.801,17.156,-0.013
quantile,RF,27.839,12099.593,109.998,17.187,-0.017
summary,RF,27.54,12122.09,110.1,17.203,-0.019
onehot,mlp,22.739,11939.179,109.267,16.707,-0.013
binary,mlp,25.591,11799.825,108.627,16.61,-0.001
basen,mlp,23.714,11935.295,109.249,16.705,-0.013
hash,mlp,22.246,12099.069,109.996,16.819,-0.026
ordinal,mlp,22.783,11950.421,109.318,16.715,-0.014
gray,mlp,24.762,11940.389,109.272,16.708,-0.013
rankhot,mlp,23.466,11928.492,109.218,16.7,-0.012
count,mlp,23.877,11962.383,109.373,16.724,-0.015
minhash,mlp,9722908.878,4281157747850744.0,65430556.683,10004672.276,-363186642553.411
similarity,mlp,30.212,11769.564,108.488,16.588,0.002
gap,mlp,25.348,11817.662,108.709,16.622,-0.003
sum,mlp,23.808,11869.906,108.949,16.659,-0.007
helm,mlp,22.506,11841.83,108.82,16.639,-0.005
polynomial,mlp,27.426,11755.655,108.423,16.579,0.003
backdiff,mlp,22.103,12141.268,110.187,16.848,-0.03
target,mlp,24.13,11993.56,109.515,17.112,-0.008
mestimate,mlp,26.256,11983.82,109.471,17.105,-0.007
jamesstein,mlp,25.065,12021.837,109.644,17.132,-0.01
loout,mlp,23.664,11994.841,109.521,17.113,-0.008
glmm,mlp,29.421,11886.415,109.025,17.035,0.001
catboost,mlp,22.034,12087.896,109.945,17.179,-0.016
quantile,mlp,25.809,11978.092,109.444,17.101,-0.007
summary,mlp,31.424,11902.734,109.1,17.047,-0.0
onehot,knn,26.114,11886.104,109.023,16.67,-0.008
binary,knn,26.114,11886.104,109.023,16.67,-0.008
basen,knn,26.135,11886.251,109.024,16.67,-0.008
hash,knn,26.114,11886.104,109.023,16.67,-0.008
ordinal,knn,26.027,11886.041,109.023,16.67,-0.008
gray,knn,26.101,11886.045,109.023,16.67,-0.008
rankhot,knn,26.101,11886.045,109.023,16.67,-0.008
count,knn,25.118,11873.43,108.965,16.661,-0.007
minhash,knn,22.166,11487.417,107.179,16.388,0.025
similarity,knn,26.114,11886.104,109.023,16.67,-0.008
gap,knn,26.165,11886.36,109.025,16.67,-0.008
sum,knn,26.114,11886.104,109.023,16.67,-0.008
helm,knn,25.914,11881.846,109.004,16.667,-0.008
polynomial,knn,26.114,11886.104,109.023,16.67,-0.008
backdiff,knn,26.114,11886.821,109.027,16.671,-0.008
target,knn,25.882,11990.122,109.499,17.109,-0.008
mestimate,knn,25.801,11988.799,109.493,17.108,-0.007
jamesstein,knn,25.864,11991.335,109.505,17.11,-0.008
loout,knn,25.781,11985.162,109.477,17.106,-0.007
glmm,knn,26.133,11993.365,109.514,17.112,-0.008
catboost,knn,26.879,12031.738,109.689,17.139,-0.011
quantile,knn,25.908,11991.639,109.506,17.11,-0.008
summary,knn,25.908,11991.639,109.506,17.11,-0.008
onehot,svm,19.636,12146.115,110.209,16.852,-0.03
binary,svm,19.636,12146.347,110.21,16.852,-0.03
basen,svm,19.636,12146.534,110.211,16.852,-0.03
hash,svm,19.636,12146.308,110.21,16.852,-0.03
ordinal,svm,19.635,12146.638,110.212,16.852,-0.03
gray,svm,19.636,12146.358,110.211,16.852,-0.03
rankhot,svm,19.636,12146.096,110.209,16.852,-0.03
count,svm,19.634,12145.015,110.204,16.851,-0.03
minhash,svm,19.694,12129.003,110.132,16.84,-0.029
similarity,svm,19.636,12146.115,110.209,16.852,-0.03
gap,svm,19.636,12146.071,110.209,16.852,-0.03
sum,svm,19.636,12146.127,110.209,16.852,-0.03
helm,svm,19.636,12146.049,110.209,16.852,-0.03
polynomial,svm,19.636,12146.12,110.209,16.852,-0.03
backdiff,svm,19.636,12146.105,110.209,16.852,-0.03
target,svm,19.506,12251.653,110.687,17.295,-0.03
mestimate,svm,19.506,12251.668,110.687,17.295,-0.03
jamesstein,svm,19.506,12251.664,110.687,17.295,-0.03
loout,svm,19.506,12251.627,110.687,17.295,-0.03
glmm,svm,19.506,12251.62,110.687,17.295,-0.03
catboost,svm,19.505,12251.368,110.686,17.295,-0.03
quantile,svm,19.506,12251.624,110.687,17.295,-0.03
summary,svm,19.506,12251.537,110.687,17.295,-0.03
onehot,lgr,24.527,11613.675,107.767,16.478,0.015
binary,lgr,24.442,11723.884,108.277,16.556,0.005
basen,lgr,24.506,11809.937,108.674,16.617,-0.002
hash,lgr,24.561,11744.241,108.371,16.57,0.004
ordinal,lgr,24.473,11791.458,108.588,16.604,-0.0
gray,lgr,24.258,11729.521,108.303,16.56,0.005
rankhot,lgr,24.527,11613.675,107.767,16.478,0.015
count,lgr,24.584,11792.059,108.591,16.604,-0.0
minhash,lgr,24.488,11614.269,107.77,16.479,0.015
similarity,lgr,24.527,11613.675,107.767,16.478,0.015
gap,lgr,24.461,11612.664,107.762,16.477,0.015
sum,lgr,24.527,11613.675,107.767,16.478,0.015
helm,lgr,24.527,11613.675,107.767,16.478,0.015
polynomial,lgr,24.527,11613.675,107.767,16.478,0.015
backdiff,lgr,24.527,11613.675,107.767,16.478,0.015
target,lgr,24.682,11864.958,108.926,17.02,0.003
mestimate,lgr,24.804,11876.348,108.979,17.028,0.002
jamesstein,lgr,24.887,11860.016,108.904,17.016,0.003
loout,lgr,27.338,11948.185,109.308,17.079,-0.004
glmm,lgr,24.684,11828.043,108.757,16.993,0.006
catboost,lgr,25.191,11971.606,109.415,17.096,-0.006
quantile,lgr,24.81,11856.534,108.888,17.014,0.004
summary,lgr,24.855,11824.495,108.74,16.991,0.006
onehot,dt,29.66,13832.24,117.611,17.983,-0.173
binary,dt,23.282,9465.413,97.29,14.876,0.197
basen,dt,24.23,12459.771,111.623,17.068,-0.057
hash,dt,24.29,9900.133,99.499,15.214,0.16
ordinal,dt,22.156,9420.697,97.06,14.841,0.201
gray,dt,23.43,9542.895,97.688,14.937,0.19
rankhot,dt,22.046,9433.735,97.127,14.851,0.2
count,dt,23.779,9476.855,97.349,14.885,0.196
minhash,dt,28.905,13228.877,115.017,17.587,-0.122
similarity,dt,30.53,13886.079,117.839,18.018,-0.178
gap,dt,28.956,13482.358,116.114,17.754,-0.144
sum,dt,30.449,13887.953,117.847,18.019,-0.178
helm,dt,32.007,13980.853,118.241,18.08,-0.186
polynomial,dt,30.346,13340.167,115.5,17.66,-0.132
backdiff,dt,22.547,9430.389,97.11,14.849,0.2
target,dt,22.699,9481.784,97.374,15.215,0.203
mestimate,dt,23.368,9542.0,97.683,15.263,0.198
jamesstein,dt,24.651,9644.32,98.205,15.345,0.19
loout,dt,32.774,12848.997,113.353,17.711,-0.08
glmm,dt,24.565,12605.461,112.274,17.543,-0.059
catboost,dt,34.972,14837.821,121.811,19.033,-0.247
quantile,dt,23.359,9569.25,97.823,15.285,0.196
summary,dt,30.586,14037.157,118.479,18.512,-0.18
