encoding,model,mae,mse,rmse,nrmse,r2
onehot,RF,20.011,654.976,25.593,0.202,0.923
binary,RF,20.243,681.408,26.104,0.206,0.92
basen,RF,20.105,670.463,25.893,0.204,0.921
hash,RF,20.17,664.721,25.782,0.203,0.922
ordinal,RF,20.133,664.577,25.779,0.203,0.922
gray,RF,19.948,656.053,25.614,0.202,0.923
rankhot,RF,20.074,664.425,25.776,0.203,0.922
count,RF,20.047,662.806,25.745,0.203,0.922
minhash,RF,20.354,688.4,26.237,0.207,0.919
similarity,RF,20.141,670.653,25.897,0.204,0.921
gap,RF,20.098,660.123,25.693,0.202,0.922
sum,RF,19.921,652.373,25.542,0.201,0.923
helm,RF,20.035,656.457,25.621,0.202,0.923
polynomial,RF,20.477,689.471,26.258,0.207,0.919
backdiff,RF,20.012,661.663,25.723,0.203,0.922
target,RF,19.978,641.549,25.329,0.199,0.924
mestimate,RF,19.791,638.061,25.26,0.199,0.925
jamesstein,RF,19.844,644.708,25.391,0.2,0.924
loout,RF,33.105,1682.455,41.018,0.323,0.802
glmm,RF,19.911,644.153,25.38,0.2,0.924
catboost,RF,20.414,676.64,26.012,0.205,0.92
quantile,RF,20.133,662.241,25.734,0.203,0.922
summary,RF,19.972,659.64,25.683,0.202,0.922
onehot,mlp,38.886,2416.688,49.16,0.387,0.715
binary,mlp,32.636,1723.726,41.518,0.327,0.797
basen,mlp,37.605,2301.532,47.974,0.378,0.728
hash,mlp,45.927,3289.501,57.354,0.452,0.612
ordinal,mlp,35.026,1943.623,44.087,0.347,0.771
gray,mlp,36.651,2106.469,45.896,0.361,0.751
rankhot,mlp,60.38,5550.454,74.501,0.587,0.345
count,mlp,48.845,3727.048,61.05,0.481,0.56
minhash,mlp,22884.652,1405240051.578,37486.532,295.17,-165861.576
similarity,mlp,39.958,2483.919,49.839,0.392,0.707
gap,mlp,53.109,4326.245,65.774,0.518,0.489
sum,mlp,42.414,2796.764,52.884,0.416,0.67
helm,mlp,48.549,3574.43,59.787,0.471,0.578
polynomial,mlp,28.614,1335.632,36.546,0.288,0.842
backdiff,mlp,56.985,4911.97,70.085,0.552,0.42
target,mlp,48.211,3606.544,60.055,0.473,0.575
mestimate,mlp,49.482,3756.815,61.293,0.483,0.557
jamesstein,mlp,41.36,2673.643,51.707,0.407,0.685
loout,mlp,40.226,2553.434,50.532,0.398,0.699
glmm,mlp,38.576,2310.083,48.063,0.378,0.728
catboost,mlp,39.749,2483.99,49.84,0.392,0.707
quantile,mlp,38.824,2315.727,48.122,0.379,0.727
summary,mlp,44.015,3022.956,54.981,0.433,0.644
onehot,knn,37.432,2355.278,48.531,0.382,0.722
binary,knn,37.346,2344.511,48.42,0.381,0.723
basen,knn,38.657,2578.78,50.782,0.4,0.696
hash,knn,37.345,2342.522,48.4,0.381,0.724
ordinal,knn,40.194,2595.809,50.949,0.401,0.694
gray,knn,37.181,2330.602,48.276,0.38,0.725
