method,time,time_norm,class,dim_fin
onehot,0.025040388107299805,0.014225693225054542,medium-fast,20.5
binary,0.023497343063354492,0.012543335907645028,fast,4.0
basen,0.02274608612060547,0.011724252485649143,fast,1.5
hash,0.5439300537109375,0.5799627916213822,slow,4.0
ordinal,0.011992692947387695,0.0,fast,1.0
gray,0.031488656997680664,0.021256137601855792,medium-slow,4.0
rankhot,0.38959193229675293,0.41169040778189037,slow,20.5
count,0.019405603408813477,0.008082177644143474,fast,1.0
minhash,0.028562068939208984,0.01806532547713364,medium-slow,30.0
similarity,0.03167533874511719,0.021459673723538675,medium-slow,20.5
gap,0.1378476619720459,0.13721765861715532,slow,10.0
sum,0.030618906021118164,0.020307862031103335,medium-slow,20.0
helm,0.028095245361328125,0.017556355200945777,medium-fast,20.0
polynomial,0.027440309524536133,0.016842289139307347,medium-fast,20.0
backdiff,0.0264284610748291,0.015739086967631516,medium-fast,20.0
target,0.023705005645751953,0.012769747097920628,fast,1.0
mestimate,0.02113628387451172,0.009969110859080997,fast,1.0
jamesstein,0.026819229125976562,0.01616513512017079,medium-fast,1.0
loout,0.025008678436279297,0.014191120678204192,medium-fast,1.0
glmm,0.9291849136352539,0.9999999999999998,slow,1.0
catboost,0.06741762161254883,0.06042891273499258,slow,1.0
quantile,0.03550291061401367,0.025632814077941077,medium-slow,1.0
summary,0.07251477241516113,0.06598625468321538,slow,2.0
