method,time,time_norm,class,dim_fin
onehot,0.022444725036621094,0.012527285924346678,medium-fast,9.5
binary,0.022188663482666016,0.01223962867037532,medium-fast,3.5
basen,0.023030996322631836,0.013185897830785755,medium-fast,2.0
hash,0.5104050636291504,0.5606975554490159,slow,4.0
ordinal,0.011293411254882812,0.0,fast,1.0
gray,0.03118109703063965,0.0223416478957363,medium-slow,3.5
rankhot,0.166534423828125,0.17439636169819558,slow,9.5
count,0.01847672462463379,0.008069669836967441,fast,1.0
minhash,0.014896869659423828,0.004048092864546646,fast,30.0
similarity,0.016475200653076172,0.005821175752154083,fast,9.5
gap,0.0751945972442627,0.07178601942891732,slow,10.0
sum,0.024510860443115234,0.014848363915888379,medium-slow,9.0
helm,0.02246689796447754,0.012552194792707326,medium-fast,9.0
polynomial,0.02278590202331543,0.012910561092347624,medium-fast,9.0
backdiff,0.022943496704101562,0.013087601543814165,medium-fast,9.0
target,0.024126291275024414,0.014416342360342942,medium-slow,1.0
mestimate,0.0205991268157959,0.010453957429940462,fast,1.0
jamesstein,0.024491071701049805,0.014826133420469734,medium-slow,1.0
loout,0.021092891693115234,0.011008648466229735,fast,1.0
glmm,0.9014554023742676,1.0000000000000002,slow,1.0
catboost,0.03880119323730469,0.030901995655679092,medium-slow,1.0
quantile,0.04374527931213379,0.03645613762551525,slow,1.0
summary,0.056504249572753906,0.05078945042465603,slow,2.0
