method,time,time_norm,class,dim_fin
onehot,0.026502370834350586,0.02095954481681724,medium-fast,20.5
binary,0.024498462677001953,0.017875802029950278,fast,4.0
basen,0.023560047149658203,0.01643170784683209,fast,1.5
hash,0.6627120971679688,0.9999999999999999,slow,4.0
ordinal,0.012882232666015625,0.0,fast,1.0
gray,0.03348374366760254,0.031702930454537454,medium-slow,4.0
rankhot,0.38223862648010254,0.5683893800374525,slow,20.5
count,0.020429134368896484,0.011613657843603426,fast,1.0
minhash,0.02811145782470703,0.023435711392494233,medium-fast,30.0
similarity,0.03311634063720703,0.03113754703579123,medium-slow,20.5
gap,0.14325642585754395,0.2006281956454103,slow,10.0
sum,0.0260617733001709,0.020281524986938578,medium-fast,20.0
helm,0.02673625946044922,0.021319467681054773,medium-fast,20.0
polynomial,0.02926158905029297,0.02520560731204762,medium-slow,20.0
backdiff,0.02993011474609375,0.026234377659980396,medium-slow,20.0
target,0.026003360748291016,0.02019163599434103,medium-fast,1.0
mestimate,0.024654150009155273,0.0181153837122613,fast,1.0
jamesstein,0.028567790985107422,0.02413794621629713,medium-fast,1.0
loout,0.02367997169494629,0.01661625545204257,fast,1.0
glmm,0.6123766899108887,0.922540637162531,slow,1.0
catboost,0.04419875144958496,0.048191873741554106,medium-slow,1.0
quantile,0.045322418212890625,0.049921044444053084,slow,1.0
summary,0.06873965263366699,0.08595699123563977,slow,2.0
