method,time,time_norm,class,dim_fin
onehot,0.022979259490966797,0.016763784335426926,medium-slow,9.5
binary,0.020610570907592773,0.01346867121868772,fast,3.5
basen,0.021248817443847656,0.014356544174249959,medium-fast,2.0
hash,0.557302713394165,0.760068005032054,slow,4.0
ordinal,0.010928630828857422,0.0,fast,1.0
gray,0.0294036865234375,0.025700887309121415,medium-slow,3.5
rankhot,0.16962051391601562,0.22075831713415703,slow,9.5
count,0.0177767276763916,0.009526475495933594,fast,1.0
minhash,0.014917135238647461,0.005548459721180695,fast,30.0
similarity,0.01630711555480957,0.007482079194818298,fast,9.5
gap,0.07370233535766602,0.08732530676723699,slow,10.0
sum,0.0228269100189209,0.016551849027767504,medium-fast,9.0
helm,0.021975278854370117,0.01536713397462282,medium-fast,9.0
polynomial,0.022638559341430664,0.016289831980739425,medium-fast,9.0
backdiff,0.022939443588256836,0.01670839592168808,medium-slow,9.0
target,0.02279806137084961,0.016511717302842954,medium-fast,1.0
mestimate,0.020586013793945312,0.013434509502429628,fast,1.0
jamesstein,0.024365901947021484,0.018692760468990613,medium-slow,1.0
loout,0.02152562141418457,0.014741609733236795,medium-fast,1.0
glmm,0.7297775745391846,1.0,slow,1.0
catboost,0.0388493537902832,0.03884087638400555,medium-slow,1.0
quantile,0.0419771671295166,0.043192017700412366,slow,1.0
summary,0.0564730167388916,0.06335738030713041,slow,2.0
