method,time,time_norm,class,dim_fin
onehot,0.02491903305053711,0.018068300335050743,medium-fast,20.5
binary,0.022745132446289062,0.014829334417014551,fast,4.0
basen,0.02275562286376953,0.014844964434605427,fast,1.5
hash,0.6839632987976074,1.0,slow,4.0
ordinal,0.012792110443115234,0.0,fast,1.0
gray,0.03276968002319336,0.029765237135785067,medium-slow,4.0
rankhot,0.4176456928253174,0.6032046509248707,slow,20.5
count,0.02049112319946289,0.011471012001011686,fast,1.0
minhash,0.029097557067871094,0.024294020523634007,medium-slow,30.0
similarity,0.031964778900146484,0.028565988513357985,medium-slow,20.5
gap,0.13844823837280273,0.18721919252487307,slow,10.0
sum,0.02442312240600586,0.017329426776209408,medium-fast,20.0
helm,0.02449941635131836,0.017443099631415767,medium-fast,20.0
polynomial,0.025270462036132812,0.018591905924345033,medium-fast,20.0
backdiff,0.02525019645690918,0.018561711572180842,medium-fast,20.0
target,0.025113821029663086,0.018358521343499478,medium-fast,1.0
mestimate,0.02083897590637207,0.01198928917521818,fast,1.0
jamesstein,0.026736736297607422,0.02077655611034224,medium-slow,1.0
loout,0.022729873657226562,0.014806599845973278,fast,1.0
glmm,0.6831963062286377,0.9988572325775036,slow,1.0
catboost,0.04286694526672363,0.04480948429467414,medium-slow,1.0
quantile,0.04695701599121094,0.05090341501675254,slow,1.0
summary,0.07135224342346191,0.0872506656966583,slow,2.0
