method,time,time_norm,class,dim_fin
onehot,0.03275609016418457,0.030796125287752205,medium-slow,9.5
binary,0.02209758758544922,0.01586190700329819,medium-fast,3.5
basen,0.021257877349853516,0.014685342484836113,medium-fast,2.0
hash,0.6439905166625977,0.8872305334861553,slow,4.0
ordinal,0.010776996612548828,0.0,fast,1.0
gray,0.028777122497558594,0.025220973314835235,medium-slow,3.5
rankhot,0.1683807373046875,0.22082732997022508,slow,9.5
count,0.017651796340942383,0.009632662660378738,fast,1.0
minhash,0.014972925186157227,0.005879147916074405,fast,30.0
similarity,0.016590356826782227,0.008145420969239286,fast,9.5
gap,0.07850837707519531,0.0949021884701354,slow,10.0
sum,0.022275924682617188,0.016111784987344082,medium-fast,9.0
helm,0.022758960723876953,0.01678859353771437,medium-fast,9.0
polynomial,0.023674726486206055,0.01807172366701955,medium-slow,9.0
backdiff,0.02277517318725586,0.01681130971808218,medium-fast,9.0
target,0.023165464401245117,0.017358168354289563,medium-fast,1.0
mestimate,0.02047276496887207,0.013585278044377393,fast,1.0
jamesstein,0.025531768798828125,0.020673728503561598,medium-slow,1.0
loout,0.0207521915435791,0.013976798094246092,fast,1.0
glmm,0.7244737148284912,1.0,slow,1.0
catboost,0.039021968841552734,0.03957559493843414,medium-slow,1.0
quantile,0.04378819465637207,0.0462538179050938,slow,1.0
summary,0.060782670974731445,0.07006571991417293,slow,2.0
